año;semestre;mes;dominio;li;lp
2012;1;1;ARMENIA;112090,3134;290126,4599
2012;1;2;ARMENIA;112090,3134;290126,4599
2012;1;3;ARMENIA;112090,3134;290126,4599
2012;1;4;ARMENIA;112090,3134;290126,4599
2012;1;5;ARMENIA;112090,3134;290126,4599
2012;1;6;ARMENIA;112090,3134;290126,4599
2012;2;7;ARMENIA;112731,1838;290639,7951
2012;2;8;ARMENIA;112731,1838;290639,7951
2012;2;9;ARMENIA;112731,1838;290639,7951
2012;2;10;ARMENIA;112731,1838;290639,7951
2012;2;11;ARMENIA;112731,1838;290639,7951
2012;2;12;ARMENIA;112731,1838;290639,7951
2012;1;1;BARRANQUILLA;107746,9569;241767,0255
2012;1;2;BARRANQUILLA;107746,9569;241767,0255
2012;1;3;BARRANQUILLA;107746,9569;241767,0255
2012;1;4;BARRANQUILLA;107746,9569;241767,0255
2012;1;5;BARRANQUILLA;107746,9569;241767,0255
2012;1;6;BARRANQUILLA;107746,9569;241767,0255
2012;2;7;BARRANQUILLA;108433,4093;244204,1486
2012;2;8;BARRANQUILLA;108433,4093;244204,1486
2012;2;9;BARRANQUILLA;108433,4093;244204,1486
2012;2;10;BARRANQUILLA;108433,4093;244204,1486
2012;2;11;BARRANQUILLA;108433,4093;244204,1486
2012;2;12;BARRANQUILLA;108433,4093;244204,1486
2012;1;1;BOGOTA;128786,2543;338967,9119
2012;1;2;BOGOTA;128786,2543;338967,9119
2012;1;3;BOGOTA;128786,2543;338967,9119
2012;1;4;BOGOTA;128786,2543;338967,9119
2012;1;5;BOGOTA;128786,2543;338967,9119
2012;1;6;BOGOTA;128786,2543;338967,9119
2012;2;7;BOGOTA;128881,5085;338619,3279
2012;2;8;BOGOTA;128881,5085;338619,3279
2012;2;9;BOGOTA;128881,5085;338619,3279
2012;2;10;BOGOTA;128881,5085;338619,3279
2012;2;11;BOGOTA;128881,5085;338619,3279
2012;2;12;BOGOTA;128881,5085;338619,3279
2012;1;1;BUCARAMANGA;131991,154;331307,1299
2012;1;2;BUCARAMANGA;131991,154;331307,1299
2012;1;3;BUCARAMANGA;131991,154;331307,1299
2012;1;4;BUCARAMANGA;131991,154;331307,1299
2012;1;5;BUCARAMANGA;131991,154;331307,1299
2012;1;6;BUCARAMANGA;131991,154;331307,1299
2012;2;7;BUCARAMANGA;132446,2509;332875,0443
2012;2;8;BUCARAMANGA;132446,2509;332875,0443
2012;2;9;BUCARAMANGA;132446,2509;332875,0443
2012;2;10;BUCARAMANGA;132446,2509;332875,0443
2012;2;11;BUCARAMANGA;132446,2509;332875,0443
2012;2;12;BUCARAMANGA;132446,2509;332875,0443
2012;1;1;CALI;101126,4793;257879,2605
2012;1;2;CALI;101126,4793;257879,2605
2012;1;3;CALI;101126,4793;257879,2605
2012;1;4;CALI;101126,4793;257879,2605
2012;1;5;CALI;101126,4793;257879,2605
2012;1;6;CALI;101126,4793;257879,2605
2012;2;7;CALI;100418,4508;259232,8774
2012;2;8;CALI;100418,4508;259232,8774
2012;2;9;CALI;100418,4508;259232,8774
2012;2;10;CALI;100418,4508;259232,8774
2012;2;11;CALI;100418,4508;259232,8774
2012;2;12;CALI;100418,4508;259232,8774
2012;1;1;CARTAGENA;110450,1525;266574,5282
2012;1;2;CARTAGENA;110450,1525;266574,5282
2012;1;3;CARTAGENA;110450,1525;266574,5282
2012;1;4;CARTAGENA;110450,1525;266574,5282
2012;1;5;CARTAGENA;110450,1525;266574,5282
2012;1;6;CARTAGENA;110450,1525;266574,5282
2012;2;7;CARTAGENA;110025,2115;267416,467
2012;2;8;CARTAGENA;110025,2115;267416,467
2012;2;9;CARTAGENA;110025,2115;267416,467
2012;2;10;CARTAGENA;110025,2115;267416,467
2012;2;11;CARTAGENA;110025,2115;267416,467
2012;2;12;CARTAGENA;110025,2115;267416,467
2012;1;1;CUCUTA;101982,8791;249329,2654
2012;1;2;CUCUTA;101982,8791;249329,2654
2012;1;3;CUCUTA;101982,8791;249329,2654
2012;1;4;CUCUTA;101982,8791;249329,2654
2012;1;5;CUCUTA;101982,8791;249329,2654
2012;1;6;CUCUTA;101982,8791;249329,2654
2012;2;7;CUCUTA;100337,9204;248148,1289
2012;2;8;CUCUTA;100337,9204;248148,1289
2012;2;9;CUCUTA;100337,9204;248148,1289
2012;2;10;CUCUTA;100337,9204;248148,1289
2012;2;11;CUCUTA;100337,9204;248148,1289
2012;2;12;CUCUTA;100337,9204;248148,1289
2012;1;1;FLORENCIA;99274,82351;272313,6913
2012;1;2;FLORENCIA;99274,82351;272313,6913
2012;1;3;FLORENCIA;99274,82351;272313,6913
2012;1;4;FLORENCIA;99274,82351;272313,6913
2012;1;5;FLORENCIA;99274,82351;272313,6913
2012;1;6;FLORENCIA;99274,82351;272313,6913
2012;2;7;FLORENCIA;98565,24801;272286,0964
2012;2;8;FLORENCIA;98565,24801;272286,0964
2012;2;9;FLORENCIA;98565,24801;272286,0964
2012;2;10;FLORENCIA;98565,24801;272286,0964
2012;2;11;FLORENCIA;98565,24801;272286,0964
2012;2;12;FLORENCIA;98565,24801;272286,0964
2012;1;1;IBAGUE;107812,5129;289362,399
2012;1;2;IBAGUE;107812,5129;289362,399
2012;1;3;IBAGUE;107812,5129;289362,399
2012;1;4;IBAGUE;107812,5129;289362,399
2012;1;5;IBAGUE;107812,5129;289362,399
2012;1;6;IBAGUE;107812,5129;289362,399
2012;2;7;IBAGUE;107987,4016;291064,5345
2012;2;8;IBAGUE;107987,4016;291064,5345
2012;2;9;IBAGUE;107987,4016;291064,5345
2012;2;10;IBAGUE;107987,4016;291064,5345
2012;2;11;IBAGUE;107987,4016;291064,5345
2012;2;12;IBAGUE;107987,4016;291064,5345
2012;1;1;MANIZALES;99315,7906;277976,6605
2012;1;2;MANIZALES;99315,7906;277976,6605
2012;1;3;MANIZALES;99315,7906;277976,6605
2012;1;4;MANIZALES;99315,7906;277976,6605
2012;1;5;MANIZALES;99315,7906;277976,6605
2012;1;6;MANIZALES;99315,7906;277976,6605
2012;2;7;MANIZALES;98752,70372;278201,2095
2012;2;8;MANIZALES;98752,70372;278201,2095
2012;2;9;MANIZALES;98752,70372;278201,2095
2012;2;10;MANIZALES;98752,70372;278201,2095
2012;2;11;MANIZALES;98752,70372;278201,2095
2012;2;12;MANIZALES;98752,70372;278201,2095
2012;1;1;MEDELLIN;106283,9983;298051,4642
2012;1;2;MEDELLIN;106283,9983;298051,4642
2012;1;3;MEDELLIN;106283,9983;298051,4642
2012;1;4;MEDELLIN;106283,9983;298051,4642
