columna,cobertura_ola1,cobertura_ola2,cobertura_ola3,clasificacion
consecutivo_c,1.0,1.0,1.0,IDENTIFICADOR
ola,1.0,1.0,1.0,IDENTIFICADOR
zona,1.0,1.0,0.0,IDENTIFICADOR
zona_2016,0.0,0.0,1.0,EXCLUIDA_SOLO_OLA3
region,0.9987341772151899,0.0,0.0,IDENTIFICADOR
n_lideres,0.9329113924050633,1.0,1.0,CANDIDATO_BENCHMARK
sexo_lider1,0.9063291139240506,1.0,1.0,CANDIDATO_BENCHMARK
cargo_lider1,0.9063291139240506,1.0,1.0,CANDIDATO_BENCHMARK
anos_vive_lider1,0.9050632911392406,1.0,1.0,CANDIDATO_BENCHMARK
sexo_lider2,0.8468354430379746,0.7467866323907455,0.9881578947368421,CANDIDATO_BENCHMARK
cargo_lider2,0.8468354430379746,0.7467866323907455,0.9828947368421053,CANDIDATO_BENCHMARK
anos_vive_lider2,0.8443037974683544,0.7467866323907455,0.9881578947368421,CANDIDATO_BENCHMARK
sexo_lider3,0.4215189873417722,0.19665809768637532,0.33289473684210524,CANDIDATO_BENCHMARK
cargo_lider3,0.4215189873417722,0.1953727506426735,0.33289473684210524,CANDIDATO_BENCHMARK
anos_vive_lider3,0.4215189873417722,0.1953727506426735,0.33289473684210524,CANDIDATO_BENCHMARK
sexo_lider4,0.11645569620253164,0.06298200514138817,0.10921052631578948,CANDIDATO_BENCHMARK
cargo_lider4,0.11645569620253164,0.06298200514138817,0.10921052631578948,CANDIDATO_BENCHMARK
anos_vive_lider4,0.11518987341772152,0.06298200514138817,0.10921052631578948,CANDIDATO_BENCHMARK
sexo_lider5,0.08354430379746836,0.0,0.0,EXCLUIDA_NO_EN_OLA2
cargo_lider5,0.08354430379746836,0.0,0.0,EXCLUIDA_NO_EN_OLA2
anos_vive_lider5,0.08354430379746836,0.0,0.0,EXCLUIDA_NO_EN_OLA2
sexo_lider6,0.056962025316455694,0.0,0.0,EXCLUIDA_NO_EN_OLA2
cargo_lider6,0.056962025316455694,0.0,0.0,EXCLUIDA_NO_EN_OLA2
anos_vive_lider6,0.056962025316455694,0.0,0.0,EXCLUIDA_NO_EN_OLA2
resultado_final,1.0,1.0,1.0,IDENTIFICADOR
hog_icbf,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
guarderia_icbf,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
preescolar,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
esc_primaria,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
col_secundaria,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
rest_escolares,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
puesto_salud,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
canchas_deportivas,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
parques_publicos,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
salon_comunal,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
puesto_policia,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
enfermo_grave,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
barren_calles,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
cortes_agua,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
puede_consumir_agua,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
transp_publico,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
inf_educacion,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
inf_salud,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
inf_acue_alcan,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
inf_entretenimiento,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
inf_vias,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
inf_otro,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
inf_otro_cual,0.017721518987341773,1.0,1.0,CANDIDATO_BENCHMARK
vias_barrio,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
vias_barrio_cual,0.0037974683544303796,0.7030848329048843,0.6921052631578948,EXCLUIDA_NO_EN_OLA1
obra_prioritaria1,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
obra_prioritaria2,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
obra_prioritaria3,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
proy_prioritario1,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
proy_prioritario2,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
proy_prioritario3,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
atracos_robos,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
homicidios,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
pandillas,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
drogas_alucinogenas,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
alcohol_publicos,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
prostibulos,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
duermen_calles,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
congestion_vehic,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
invasion_publico,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
contaminacion_bas,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
contaminacion_medioamb,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
aguas_negras,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
inundaciones,0.649367088607595,1.0,1.0,CANDIDATO_BENCHMARK
otros_problemas,0.9075949367088607,1.0,0.7118421052631579,CANDIDATO_BENCHMARK
otros_problemas_cual,0.06329113924050633,1.0,1.0,CANDIDATO_BENCHMARK
seguridad,0.9075949367088607,1.0,1.0,CANDIDATO_BENCHMARK
razon_seguridad,0.25316455696202533,0.2969151670951157,0.3171052631578947,CANDIDATO_BENCHMARK
razon_segu_cual,0.020253164556962026,1.0,1.0,CANDIDATO_BENCHMARK
hecho_seguridad,0.9075949367088607,0.2969151670951157,0.3171052631578947,CANDIDATO_BENCHMARK
hecho_seguridad_cual,0.012658227848101266,1.0,1.0,CANDIDATO_BENCHMARK
hay_desplazados,0.649367088607595,0.7030848329048843,0.6921052631578948,CANDIDATO_BENCHMARK
n_desplazados,0.320253164556962,0.3213367609254499,0.2881578947368421,CANDIDATO_BENCHMARK
grarmados_2001,0.9075949367088607,0.0,0.0,EXCLUIDA_NO_EN_OLA2
armadoseran_2001,0.2240506329113924,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grarmados_2002,0.9075949367088607,0.0,0.0,EXCLUIDA_NO_EN_OLA2
armadoseran_2002,0.16962025316455695,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grarmados_2003,0.9075949367088607,0.0,0.0,EXCLUIDA_NO_EN_OLA2
armadoseran_2003,0.15949367088607594,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grarmados_2004,0.9075949367088607,0.0,0.0,EXCLUIDA_NO_EN_OLA2
armadoseran_2004,0.14810126582278482,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grarmados_2005,0.9075949367088607,0.0,0.0,EXCLUIDA_NO_EN_OLA2
armadoseran_2005,0.13291139240506328,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grarmados_2006,0.9075949367088607,0.0,0.0,EXCLUIDA_NO_EN_OLA2
armadoseran_2006,0.11518987341772152,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grarmados_2007,0.9075949367088607,0.0,0.0,EXCLUIDA_NO_EN_OLA2
armadoseran_2007,0.09873417721518987,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grarmados_2008,0.9075949367088607,0.0,0.0,EXCLUIDA_NO_EN_OLA2
armadoseran_2008,0.09113924050632911,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grarmados_2009,0.9075949367088607,0.0,0.0,EXCLUIDA_NO_EN_OLA2
armadoseran_2009,0.09240506329113925,0.0,0.0,EXCLUIDA_NO_EN_OLA2
grarmados_2010,0.9075949367088607,1.0,0.0,CANDIDATO_BENCHMARK
armadoseran_2010,0.0949367088607595,0.08611825192802057,0.0,CANDIDATO_BENCHMARK
vivir_otro_lugar,0.22278481012658227,0.13110539845758354,0.07894736842105263,CANDIDATO_BENCHMARK
recluta_jovenes_gra,0.30886075949367087,0.14652956298200515,0.08289473684210526,CANDIDATO_BENCHMARK
sometieron_gra,0.30886075949367087,0.14652956298200515,0.08289473684210526,CANDIDATO_BENCHMARK
otra_acc_conflic,0.30886075949367087,0.13110539845758354,0.07894736842105263,CANDIDATO_BENCHMARK
otra_acc_conflic_cual,0.013924050632911392,0.2969151670951157,1.0,CANDIDATO_BENCHMARK
amenazas,0.30886075949367087,0.11311053984575835,0.08289473684210526,CANDIDATO_BENCHMARK
atentados,0.30886075949367087,0.11311053984575835,0.08289473684210526,CANDIDATO_BENCHMARK
desap_forzadas,0.22278481012658227,0.09768637532133675,0.07894736842105263,CANDIDATO_BENCHMARK
imponen_reglas,0.30886075949367087,0.11311053984575835,0.08289473684210526,CANDIDATO_BENCHMARK
exigen_dinero,0.30886075949367087,0.11311053984575835,0.08289473684210526,CANDIDATO_BENCHMARK
recluta_forzado,0.22278481012658227,0.09768637532133675,0.07894736842105263,CANDIDATO_BENCHMARK
