variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
ola,int64,4578,0,0.0,1,1,1.0,1.0
zona,int64,4578,0,0.0,1,2,2.0,2.0
region,int64,4578,0,0.0,4,8 | 6 | 7 | 9,6.0,9.0
id_dpto,int64,4578,0,0.0,8,7 | 15 | 5 | 4 | 19,3.0,19.0
id_mpio,int64,4578,0,0.0,17,81 | 82 | 67 | 87 | 83,19.0,149.0
id_mpiou,int64,4578,0,0.0,17,7081 | 7082 | 7067 | 15087 | 15083,3035.0,19031.0
consecutivo_c,float64,4578,0,0.0,224,12108.0 | 12109.0 | 12111.0 | 12112.0 | 12113.0,12108.0,22143.0
consecutivo,int64,4578,0,0.0,4578,121116 | 121117 | 121118 | 121119 | 121120,121116.0,226290.0
t_hogar,int64,4578,0,0.0,7,1 | 2 | 4 | 3 | 7,1.0,8.0
t_personas,int64,4578,0,0.0,16,4 | 3 | 6 | 5 | 2,2.0,19.0
ordeninforma,int64,4578,0,0.0,8,2 | 3 | 1 | 4 | 6,1.0,11.0
tipo_vivienda,int64,4578,0,0.0,4,1 | 2 | 3 | 4,1.0,4.0
material_pisos,int64,4578,0,0.0,6,4 | 2 | 3 | 5 | 1,1.0,6.0
material_paredes,int64,4578,0,0.0,7,1 | 2 | 5 | 6 | 4,1.0,7.0
sp_energia,int64,4578,0,0.0,2,1 | 2,1.0,2.0
sp_gasnatural,int64,4578,0,0.0,2,2 | 1,1.0,2.0
sp_acueducto,int64,4578,0,0.0,2,1 | 2,1.0,2.0
sp_alcantarillado,int64,4578,0,0.0,2,2 | 1,1.0,2.0
sp_telefono,int64,4578,0,0.0,2,2 | 1,1.0,2.0
sp_recoleccion_basura,int64,4578,0,0.0,2,2 | 1,1.0,2.0
eliminan_basura,int64,4578,0,0.0,6,2 | 3 | 4 | 6 | 1,1.0,6.0
t_hogares,int64,4578,0,0.0,7,1 | 2 | 4 | 3 | 7,1.0,8.0
uc_fabricas,int64,4578,0,0.0,2,2 | 1,1.0,2.0
uc_basureros,int64,4578,0,0.0,2,2 | 1,1.0,2.0
uc_plaza_mercado,int64,4578,0,0.0,2,2 | 1,1.0,2.0
uc_terminal_bus,int64,4578,0,0.0,1,2,2.0,2.0
uc_aeropuerto,int64,4578,0,0.0,2,2 | 1,1.0,2.0
uc_cagno_agua,int64,4578,0,0.0,2,2 | 1,1.0,2.0
uc_planta_tratamiento,int64,4578,0,0.0,2,2 | 1,1.0,2.0
uc_trans_hidrocarburo,int64,4578,0,0.0,2,2 | 1,1.0,2.0
uc_linea_alta_tension,int64,4578,0,0.0,2,2 | 1,1.0,2.0
inundacion,int64,4578,0,0.0,2,2 | 1,1.0,2.0
avalancha,int64,4578,0,0.0,2,2 | 1,1.0,2.0
creciente,int64,4578,0,0.0,2,2 | 1,1.0,2.0
hundimiento,int64,4578,0,0.0,2,2 | 1,1.0,2.0
terremoto,int64,4578,0,0.0,2,2 | 1,1.0,2.0
t_cuartos_hogar,int64,4578,0,0.0,11,3 | 2 | 4 | 1 | 6,1.0,11.0
t_cuartos_dormir,int64,4578,0,0.0,8,2 | 1 | 3 | 5 | 4,1.0,8.0
servicio_sanitario,int64,4578,0,0.0,6,2 | 6 | 5 | 3 | 4,1.0,6.0
uso_sanitario,float64,4578,762,0.1664,2,1.0 | 2.0,1.0,2.0
obtencion_agua,int64,4578,0,0.0,9,2 | 6 | 1 | 3 | 9,1.0,9.0
sitio_alimentos,int64,4578,0,0.0,6,1 | 3 | 5 | 2 | 4,1.0,6.0
cocina_es,float64,4578,12,0.0026,2,1.0 | 2.0,1.0,2.0
energia_cocinan,float64,4578,12,0.0026,6,5.0 | 3.0 | 1.0 | 4.0 | 6.0,1.0,7.0
tenencia_vivienda,int64,4578,0,0.0,5,4 | 1 | 5 | 2 | 3,1.0,5.0
recursos_propios,float64,4578,2168,0.4736,2,1.0 | 2.0,1.0,2.0
credito_financiera,float64,4578,2168,0.4736,2,2.0 | 1.0,1.0,2.0
credito_proveedor,float64,4578,2168,0.4736,2,2.0 | 1.0,1.0,2.0
credito_gremios,float64,4578,2168,0.4736,2,2.0 | 1.0,1.0,2.0
prestamo_familiar,float64,4578,2168,0.4736,2,2.0 | 1.0,1.0,2.0
prestamo_particular,float64,4578,2168,0.4736,2,2.0 | 1.0,1.0,2.0
otra_financiacion,float64,4578,2168,0.4736,2,2.0 | 1.0,1.0,2.0
otra_financiacion_cual,object,4578,4570,0.9983,7,TITULACION DE BALDIOS | A LA EMPRESA DONDE TRABAJAN | ENERIGA PARA PONERLA | CARTA VENTA | LA COMUNIDAD SE REUNIO P???RA HACER ESTA CASA (REGAL,,
subsidio_compra,float64,4578,2168,0.4736,2,0.0 | 1.0,0.0,1.0
subsidio_mejora,float64,4578,2168,0.4736,2,0.0 | 1.0,0.0,1.0
subsidio_legalizar,float64,4578,2168,0.4736,1,0.0,0.0,0.0
subsidio_nousado,float64,4578,2168,0.4736,2,0.0 | 1.0,0.0,1.0
subsidio_negado,float64,4578,2168,0.4736,2,0.0 | 2.0,0.0,2.0
ningun_subsidio,float64,4578,2168,0.4736,2,3.0 | 0.0,0.0,3.0
subsidio_recibido,float64,4578,4469,0.9762,35,12000000.0 | 4300000.0 | 2000000.0 | 10000000.0 | 4000000.0,98.0,17000000.0
valor_arriendo_pagado,float64,4578,4371,0.9548,37,80000.0 | 500000.0 | 60000.0 | 30000.0 | 10000.0,99.0,1300000.0
anos_tiene_hogar,float64,4578,609,0.133,76,19.0 | 10.0 | 30.0 | 37.0 | 12.0,1.0,99.0
ano_creo_hogar,float64,4578,3967,0.8665,58,2009.0 | 1974.0 | 2007.0 | 1999.0 | 9999.0,1946.0,9999.0
religion,int64,4578,0,0.0,2,1 | 2,1.0,2.0
religion_cual,object,4578,490,0.107,36,CATOLICA | CRISTIANA | PENTECOSTAL | MINISTERIAL | MOVIMIENTO MIRA,,
religion_cual2,object,4578,4504,0.9838,5,CATOLICA | EVANGELICA | TESTIGOS DE JEHOVA | CRISTIANA | PENTECOSTAL,,
cambio_vivienda,int64,4578,0,0.0,2,2 | 1,1.0,2.0
veces_cambio_vivienda,float64,4578,2009,0.4388,30,15.0 | 2.0 | 5.0 | 3.0 | 6.0,1.0,99.0
