variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
ola,int64,5275,0,0.0,1,1,1.0,1.0
zona,int64,5275,0,0.0,1,1,1.0,1.0
region,int64,5275,0,0.0,5,5 | 1 | 2 | 3 | 4,1.0,5.0
id_dpto,int64,5275,0,0.0,21,21 | 12 | 11 | 22 | 14,2.0,23.0
id_mpio,int64,5275,0,0.0,44,102 | 65 | 69 | 15 | 1,1.0,102.0
id_mpiou,int64,5275,0,0.0,63,21102 | 12065 | 12102 | 11102 | 11069,2003.0,23102.0
consecutivo_c,int64,5275,0,0.0,568,11001 | 11002 | 11004 | 11003 | 11005,11001.0,22609.0
estrato,int64,5275,0,0.0,4,2 | 1 | 3 | 4,1.0,4.0
t_hogar,int64,5275,0,0.0,6,1 | 2 | 3 | 4 | 5,1.0,6.0
consecutivo,int64,5275,0,0.0,5275,111001 | 111002 | 111003 | 111004 | 111006,111001.0,226628.0
t_personas,int64,5275,0,0.0,17,3 | 2 | 6 | 4 | 5,2.0,28.0
ordeninforma,int64,5275,0,0.0,10,1 | 2 | 3 | 4 | 12,1.0,12.0
tipo_vivienda,int64,5275,0,0.0,4,2 | 1 | 3 | 4,1.0,4.0
material_pisos,int64,5275,0,0.0,6,2 | 3 | 5 | 1 | 6,1.0,6.0
material_paredes,int64,5275,0,0.0,7,1 | 3 | 5 | 2 | 6,1.0,7.0
sp_energia,int64,5275,0,0.0,2,1 | 2,1.0,2.0
sp_estrato,float64,5275,16,0.003,4,2.0 | 1.0 | 3.0 | 4.0,1.0,4.0
sp_gasnatural,int64,5275,0,0.0,2,1 | 2,1.0,2.0
sp_acueducto,int64,5275,0,0.0,2,1 | 2,1.0,2.0
sp_alcantarillado,int64,5275,0,0.0,2,1 | 2,1.0,2.0
sp_telefono,int64,5275,0,0.0,2,1 | 2,1.0,2.0
sp_recoleccion_basura,int64,5275,0,0.0,2,1 | 2,1.0,2.0
eliminan_basura,int64,5275,0,0.0,6,1 | 6 | 5 | 3 | 4,1.0,6.0
t_hogares,int64,5275,0,0.0,6,1 | 2 | 3 | 4 | 5,1.0,6.0
uc_fabricas,int64,5275,0,0.0,2,2 | 1,1.0,2.0
uc_basureros,int64,5275,0,0.0,2,2 | 1,1.0,2.0
uc_plaza_mercado,int64,5275,0,0.0,2,2 | 1,1.0,2.0
uc_terminal_bus,int64,5275,0,0.0,2,2 | 1,1.0,2.0
uc_aeropuerto,int64,5275,0,0.0,2,2 | 1,1.0,2.0
uc_cagno_agua,int64,5275,0,0.0,2,2 | 1,1.0,2.0
uc_planta_tratamiento,int64,5275,0,0.0,2,2 | 1,1.0,2.0
uc_trans_hidrocarburo,int64,5275,0,0.0,2,2 | 1,1.0,2.0
uc_linea_alta_tension,int64,5275,0,0.0,2,2 | 1,1.0,2.0
uc_vias_ppales,int64,5275,0,0.0,2,2 | 1,1.0,2.0
inundacion,int64,5275,0,0.0,2,2 | 1,1.0,2.0
avalancha,int64,5275,0,0.0,2,2 | 1,1.0,2.0
creciente,int64,5275,0,0.0,2,2 | 1,1.0,2.0
hundimiento,int64,5275,0,0.0,2,2 | 1,1.0,2.0
terremoto,int64,5275,0,0.0,2,2 | 1,1.0,2.0
t_cuartos_hogar,int64,5275,0,0.0,11,5 | 1 | 2 | 3 | 4,1.0,11.0
t_cuartos_dormir,int64,5275,0,0.0,10,2 | 1 | 4 | 3 | 5,1.0,10.0
servicio_sanitario,int64,5275,0,0.0,6,1 | 2 | 6 | 4 | 3,1.0,6.0
uso_sanitario,float64,5275,60,0.0114,2,1.0 | 2.0,1.0,2.0
obtencion_agua,int64,5275,0,0.0,9,1 | 10 | 2 | 7 | 3,1.0,10.0
sitio_alimentos,int64,5275,0,0.0,6,1 | 6 | 4 | 3 | 5,1.0,6.0
cocina_es,float64,5275,19,0.0036,2,1.0 | 2.0,1.0,2.0
energia_cocinan,float64,5275,19,0.0036,7,2.0 | 3.0 | 5.0 | 1.0 | 6.0,1.0,7.0
tenencia_vivienda,int64,5275,0,0.0,5,1 | 3 | 4 | 2 | 5,1.0,5.0
anos_adqviv,float64,5275,3194,0.6055,60,19.0 | 3.0 | 28.0 | 4.0 | 23.0,0.0,60.0
meses_adqviv,float64,5275,3195,0.6057,12,0.0 | 2.0 | 6.0 | 1.0 | 4.0,0.0,11.0
fecha_ano_adviv,float64,5275,5004,0.9486,54,1977.0 | 1980.0 | 2002.0 | 1997.0 | 1993.0,1940.0,2010.0
fecha_mes_adviv,float64,5275,5004,0.9486,12,6.0 | 2.0 | 8.0 | 3.0 | 1.0,1.0,12.0
compro_vivcuando,float64,5275,2926,0.5547,7,3.0 | 4.0 | 2.0 | 5.0 | 1.0,1.0,7.0
compro_vc_cual,object,5275,5267,0.9985,8,DADA POR LA GOBERNACION2 | RECIBIO   VIVIENDA POR LA GOBERNACION2 | EL MUNICIPIO LES ADJUDICO  EL TERRENO | REUBICACION2 | SE LA DIO EL MUNIUCIPIO,,
recursos_propios,float64,5275,2926,0.5547,2,1.0 | 2.0,1.0,2.0
credito_financiera,float64,5275,2926,0.5547,2,1.0 | 2.0,1.0,2.0
credito_fna,float64,5275,2926,0.5547,2,2.0 | 1.0,1.0,2.0
credito_proveedor,float64,5275,2926,0.5547,2,2.0 | 1.0,1.0,2.0
credito_cooperativa,float64,5275,2926,0.5547,2,2.0 | 1.0,1.0,2.0
prestamo_empleador,float64,5275,2926,0.5547,2,2.0 | 1.0,1.0,2.0
prestamo_familiar,float64,5275,2926,0.5547,2,2.0 | 1.0,1.0,2.0
prestamo_particular,float64,5275,2926,0.5547,2,2.0 | 1.0,1.0,2.0
subsidios,float64,5275,2925,0.5545,2,2.0 | 1.0,1.0,2.0
otra_financiacion,float64,5275,2926,0.5547,2,2.0 | 1.0,1.0,2.0
otra_financiacion_cual,object,5275,5262,0.9975,13,NO HAN PAGAADO NADA | POR MEDIO DEL TRABAJO | CREDITO TERRITORIAL | ENTIDAD   DESCONOCIDAD | DINERO QUE LLEGO POR MUERTE DE UN HIJO DE SRA IRMA,,
subsidio_compra,float64,5275,5235,0.9924,1,1.0,1.0,1.0
subsidio_mejora,float64,5275,5256,0.9964,1,1.0,1.0,1.0
subsidio_legalizar,float64,5275,5275,1.0,0,,,
subsidio_nousado,float64,5275,5267,0.9985,1,1.0,1.0,1.0
subsidio_negado,float64,5275,5223,0.9901,1,2.0,2.0,2.0
ningun_subsidio,float64,5275,3044,0.5771,1,3.0,3.0,3.0
subsidio_recibido,float64,5275,5209,0.9875,40,4300000.0 | 5000000.0 | 7000000.0 | 700000.0 | 2000000.0,98.0,10000000.0
