variable,dtype,n_obs,n_missing,pct_missing,n_unique,sample_values,min,max
ola,int64,22179,0,0.0,1,1,1.0,1.0
consecutivo,int64,22179,0,0.0,5275,111001 | 111002 | 111003 | 111004 | 111006,111001.0,226628.0
orden,int64,22179,0,0.0,28,1 | 2 | 3 | 4 | 5,1.0,28.0
llave_id_lb,int64,22179,0,0.0,22179,11100101 | 11100102 | 11100103 | 11100201 | 11100202,11100101.0,22662804.0
nac_dia,int64,22179,0,0.0,32,15 | 4 | 24 | 18 | 10,1.0,99.0
nac_mes,int64,22179,0,0.0,13,5 | 3 | 10 | 7 | 1,1.0,99.0
nac_ano,int64,22179,0,0.0,101,1955 | 1983 | 2008 | 1970 | 1966,1910.0,9999.0
edad,float64,22179,0,0.0,99,54.0 | 26.0 | 1.0 | 39.0 | 43.0,0.0,999.0
edad_meses,float64,22179,0,0.0,12,9.0 | 11.0 | 4.0 | 7.0 | 0.0,0.0,11.0
sexo,int64,22179,0,0.0,2,2 | 1,1.0,2.0
seguimiento,int64,22179,0,0.0,2,1 | 2,1.0,2.0
es_bisnieto,float64,22179,22150,0.9987,1,1.0,1.0,1.0
parentesco,int64,22179,0,0.0,18,1 | 3 | 5 | 2 | 10,1.0,18.0
orden_pariente,int64,22179,0,0.0,21,2 | 1 | 4 | 5 | 3,1.0,27.0
pariente,int64,22179,0,0.0,17,3 | 6 | 2 | 8 | 12,2.0,18.0
padre_vive,int64,22179,0,0.0,4,3 | 2 | 1 | 9,1.0,9.0
orden_padre,float64,22179,15521,0.6998,16,6.0 | 1.0 | 2.0 | 4.0 | 3.0,1.0,27.0
ano_nac_p,float64,22179,6668,0.3006,120,1926.0 | 1948.0 | 1965.0 | 9998.0 | 1934.0,1823.0,9999.0
educ_padre,float64,22179,6669,0.3007,11,2.0 | 1.0 | 7.0 | 4.0 | 98.0,1.0,99.0
trabajo_padre,float64,22179,6669,0.3007,11,1.0 | 3.0 | 7.0 | 5.0 | 2.0,1.0,99.0
enfermedad_p,float64,22179,6669,0.3007,4,1.0 | 2.0 | 8.0 | 9.0,1.0,9.0
presion_p,float64,22179,17541,0.7909,2,1.0 | 0.0,0.0,1.0
diabetes_p,float64,22179,17543,0.791,2,0.0 | 2.0,0.0,2.0
artritis_p,float64,22179,17543,0.791,2,0.0 | 3.0,0.0,3.0
corazon_p,float64,22179,17543,0.791,2,0.0 | 4.0,0.0,4.0
coronaria_p,float64,22179,17543,0.791,2,0.0 | 5.0,0.0,5.0
bronquitis_p,float64,22179,17543,0.791,2,0.0 | 6.0,0.0,6.0
asma_p,float64,22179,17543,0.791,2,0.0 | 7.0,0.0,7.0
espalda_p,float64,22179,17542,0.7909,3,0.0 | 8.0 | 1.0,0.0,8.0
cerebral_p,float64,22179,17543,0.791,2,0.0 | 9.0,0.0,9.0
depresion_p,float64,22179,17543,0.791,2,0.0 | 10.0,0.0,10.0
gastritis_p,float64,22179,17543,0.791,2,0.0 | 11.0,0.0,11.0
rinon_p,float64,22179,17543,0.791,2,0.0 | 12.0,0.0,12.0
cancer_p,float64,22179,17543,0.791,2,0.0 | 13.0,0.0,13.0
vih_p,float64,22179,17543,0.791,2,0.0 | 14.0,0.0,14.0
madre_vive,int64,22179,0,0.0,4,2 | 1 | 3 | 9,1.0,9.0
orden_madre,float64,22179,11226,0.5062,16,1.0 | 2.0 | 4.0 | 7.0 | 10.0,1.0,24.0
ano_nac_m,float64,22179,10955,0.4939,115,1928.0 | 9998.0 | 1953.0 | 1945.0 | 1951.0,1860.0,9999.0
educ_madre,float64,22179,10955,0.4939,11,2.0 | 1.0 | 9.0 | 3.0 | 98.0,1.0,99.0
trabajo_madre,float64,22179,10955,0.4939,11,9.0 | 5.0 | 4.0 | 1.0 | 2.0,1.0,99.0
enfermedad_m,float64,22179,10955,0.4939,4,2.0 | 1.0 | 8.0 | 9.0,1.0,9.0
presion_m,float64,22179,17000,0.7665,2,1.0 | 0.0,0.0,1.0
diabetes_m,float64,22179,17000,0.7665,2,0.0 | 2.0,0.0,2.0
artritis_m,float64,22179,17000,0.7665,2,0.0 | 3.0,0.0,3.0
corazon_m,float64,22179,17000,0.7665,2,0.0 | 4.0,0.0,4.0
coronaria_m,float64,22179,17000,0.7665,2,0.0 | 5.0,0.0,5.0
bronquitis_m,float64,22179,17000,0.7665,2,0.0 | 6.0,0.0,6.0
asma_m,float64,22179,17000,0.7665,2,0.0 | 7.0,0.0,7.0
espalda_m,float64,22179,17000,0.7665,2,0.0 | 8.0,0.0,8.0
cerebral_m,float64,22179,17000,0.7665,2,0.0 | 9.0,0.0,9.0
depresion_m,float64,22179,17000,0.7665,2,0.0 | 10.0,0.0,10.0
gastritis_m,float64,22179,17000,0.7665,2,11.0 | 0.0,0.0,11.0
rinon_m,float64,22179,17000,0.7665,2,0.0 | 12.0,0.0,12.0
cancer_m,float64,22179,17000,0.7665,2,0.0 | 13.0,0.0,13.0
vih_m,float64,22179,17000,0.7665,2,0.0 | 14.0,0.0,14.0
etnia,float64,22179,9108,0.4107,6,1.0 | 6.0 | 5.0 | 4.0 | 2.0,1.0,6.0
lugar_nacimiento,float64,22179,9108,0.4107,4,3.0 | 1.0 | 2.0 | 4.0,1.0,4.0
id_dpto_nac,float64,22179,17027,0.7677,32,14.0 | 3.0 | 2.0 | 18.0 | 26.0,1.0,32.0
id_mpio_nac,float64,22179,17027,0.7677,505,193.0 | 102.0 | 279.0 | 6.0 | 204.0,1.0,583.0
pais_nac,float64,22179,22120,0.9973,12,850.0 | 245.0 | 69.0 | 249.0 | 239.0,23.0,998.0
cabecera_nac,float64,22179,17022,0.7675,2,2.0 | 1.0,1.0,2.0
vivia_con,float64,22179,13392,0.6038,5,1.0 | 4.0 | 2.0 | 3.0 | 5.0,1.0,5.0
razon_novivia,float64,22179,19358,0.8728,9,3.0 | 9.0 | 2.0 | 4.0 | 8.0,1.0,9.0
razon_nv_cual,object,22179,22130,0.9978,48,NO LO RECONOCIERON COMO HIJO | SE HABIA ORGANIZADO CON UN SE�OR | PAPA Y MAMA PELEABAN MUCHO | DECISION PROPIA DE LOS PADRES | TRADICION FAMILIAR,,
lugar_vivia,float64,22179,13392,0.6038,4,3.0 | 1.0 | 2.0 | 4.0,1.0,4.0
id_dpto_vivia,float64,22179,18952,0.8545,32,14.0 | 3.0 | 18.0 | 26.0 | 13.0,1.0,32.0
id_mpio_vivia,float64,22179,18952,0.8545,461,178.0 | 102.0 | 279.0 | 6.0 | 55.0,1.0,583.0
pais_vivia,float64,22179,22142,0.9983,11,23.0 | 850.0 | 105.0 | 239.0 | 589.0,23.0,998.0
cabecera_vivia,float64,22179,18771,0.8463,2,2.0 | 1.0,1.0,2.0
lugar_vivia5,float64,22179,13392,0.6038,3,1.0 | 2.0 | 3.0,1.0,3.0
id_dpto_vivia5,float64,22179,21320,0.9613,31,14.0 | 20.0 | 16.0 | 12.0 | 11.0,1.0,32.0
id_mpio_vivia5,float64,22179,21320,0.9613,196,279.0 | 102.0 | 96.0 | 77.0 | 98.0,1.0,554.0
pais_vivia5,float64,22179,22143,0.9984,11,850.0 | 23.0 | 239.0 | 249.0 | 245.0,23.0,850.0
cabecera_vivia5,float64,22179,13428,0.6054,2,1.0 | 2.0,1.0,2.0
vivido_siempre5,float64,22179,14434,0.6508,2,1.0 | 2.0,1.0,2.0
razon_llego,float64,22179,21039,0.9486,7,6.0 | 7.0 | 1.0 | 5.0 | 2.0,1.0,7.0
razon_llego_cual,object,22179,22115,0.9971,60,PROBLEMAS CON LA FAMILIA PATERNA | PREDICACION DEL EVANGELIO | QUERIA VIVIR AQUI | PARA SER MINISTRO VOLUNTARIO | LES GUSTA FONSECA,,
vivido_otro5,float64,22179,21039,0.9486,2,1.0 | 2.0,1.0,2.0
afiliacion,float64,22179,13392,0.6038,2,2.0 | 1.0,1.0,2.0
sss,float64,22179,21398,0.9648,2,2.0 | 1.0,1.0,2.0
sss_meses,float64,22179,21889,0.9869,12,12.0 | 10.0 | 1.0 | 5.0 | 6.0,1.0,12.0
regimen,float64,22179,13883,0.626,3,3.0 | 1.0 | 2.0,1.0,3.0
sss_porque,float64,22179,17147,0.7731,3,1.0 | 2.0 | 3.0,1.0,3.0
tiempo_anos,float64,22179,13883,0.626,54,14.0 | 2.0 | 5.0 | 9.0 | 0.0,0.0,62.0
tiempo_meses,float64,22179,13883,0.626,12,0.0 | 2.0 | 3.0 | 1.0 | 6.0,0.0,11.0
prepagada,float64,22179,13392,0.6038,2,2.0 | 1.0,1.0,2.0
cotiza_fp,float64,22179,13392,0.6038,8,7.0 | 5.0 | 3.0 | 8.0 | 2.0,1.0,8.0
vr_rec_pension,float64,22179,21780,0.982,115,2500000.0 | 3000000.0 | 1200000.0 | 98.0 | 1947000.0,98.0,7500000.0
beneficiario_sss,float64,22179,17896,0.8069,2,1.0 | 2.0,1.0,2.0
beneficiario_orden,float64,22179,18293,0.8248,15,2.0 | 4.0 | 1.0 | 0.0 | 3.0,0.0,99.0
ev_enfe,float64,22179,9109,0.4107,2,0.0 | 1.0,0.0,1.0
ev_acci,float64,22179,9109,0.4107,2,0.0 | 2.0,0.0,2.0
ev_odon,float64,22179,9109,0.4107,2,0.0 | 3.0,0.0,3.0
ev_ciru,float64,22179,9109,0.4107,2,0.0 | 4.0,0.0,4.0
ev_ning,float64,22179,9109,0.4107,2,5.0 | 0.0,0.0,5.0
vr_enfe,float64,22179,20004,0.9019,158,20000.0 | 5000.0 | 0.0 | 6000.0 | 40000.0,0.0,4000000.0
vr_acci,float64,22179,22024,0.993,42,0.0 | 35000.0 | 38000.0 | 30000.0 | 150000.0,0.0,2000000.0
vr_odon,float64,22179,21870,0.9861,71,155000.0 | 95000.0 | 30000.0 | 15000.0 | 0.0,0.0,4000000.0
vr_ciru,float64,22179,22105,0.9967,34,75000.0 | 150000.0 | 0.0 | 100000.0 | 8000.0,0.0,2800000.0
