variable,UHogar,RHogar,UPersonas,RPersonas
aceptar_trabajo,0,0,1,0
act_bonos_emp,1,1,0,0
act_bonos_emp_vr,1,1,0,0
act_bonos_gob,1,1,0,0
act_bonos_gob_vr,1,1,0,0
act_cesantias,1,1,0,0
act_cesantias_vr,1,1,0,0
act_cotidiana,0,0,1,1
act_dinero,1,1,0,0
act_dinero_vr,1,1,0,0
act_dineroprestado,1,1,0,0
act_dineroprestado_vr,1,1,0,0
act_fondos,1,1,0,0
act_fondos_vr,1,1,0,0
act_herencias,1,0,0,0
act_herencias_vr,1,1,0,0
act_inversiones,1,1,0,0
act_inversiones_vr,1,1,0,0
act_otrosing,1,0,0,0
act_otrosing_cual,1,1,0,0
act_otrosing_vr,1,1,0,0
act_polizas,1,0,0,0
act_polizas_vr,1,1,0,0
act_roscas,1,1,0,0
act_roscas_vr,1,1,0,0
act_segcosechas,0,1,0,0
act_segcosechas_vr,0,1,0,0
act_segmaq,1,1,0,0
act_segmaq_vr,1,1,0,0
act_segotros,1,1,0,0
act_segotros_vr,1,1,0,0
act_segveh,1,1,0,0
act_segveh_vr,1,1,0,0
act_segvida,1,1,0,0
act_segvida_vr,1,1,0,0
act_segviv,1,1,0,0
act_segviv_vr,1,1,0,0
act_vgtaotros,1,0,0,0
act_vtaanimdes,0,1,0,0
act_vtainm,1,0,0,0
act_vtainm_vr,1,1,0,0
act_vtaneg,1,0,0,0
act_vtaneg_vr,1,1,0,0
act_vtaotros_cual,1,1,0,0
act_vtaotros_vr,1,1,0,0
actividad_ppal,0,0,1,0
actividad_principal,0,0,1,0
afectaron_hogarc_1,0,1,0,0
afectaron_hogarc_2,0,1,0,0
afectaron_hogarc_3,0,1,0,0
afectaron_hogarc_4,0,1,0,0
afectaron_hogarc_5,0,1,0,0
afiliacion,0,0,1,1
afiliado_fp_pt,0,0,1,0
agro_ingresos,0,1,0,0
ahorra,0,0,1,1
ahorro_carro,0,0,1,1
ahorro_casa,0,0,1,1
ahorro_educ,0,0,1,1
ahorro_event,0,0,1,1
ahorro_futuro,0,0,1,1
ahorro_montar,0,0,1,1
ahorro_otro,0,0,1,1
ahorro_otros_act,0,0,1,1
ahorro_recre,0,0,1,1
angustia,0,0,1,1
ano_creo_hogar,1,1,0,0
ano_dejo_t,0,0,1,0
ano_duro,0,0,1,0
ano_inicio,0,0,1,1
ano_inicio_ta,0,0,1,0
ano_llevaviviendo,1,1,0,0
ano_nac_m,0,0,1,1
ano_nac_p,0,0,1,1
ano_primert,0,0,1,0
ano_retiro,0,0,1,0
ano_retiro_pt,0,0,1,0
ano_unionm,0,0,1,1
anos_adqviv,1,0,0,0
anos_dejo,0,0,1,0
anos_ocupa_vivienda,1,1,0,0
anos_primert,0,0,1,0
anos_retiro,0,0,1,0
anos_superior,0,0,1,1
anos_tiene_hogar,1,1,0,0
anos_trabaja,0,0,1,0
anos_trabajo,0,0,1,0
aquien_cual_1,1,1,0,0
aquien_cual_10,1,0,0,0
aquien_cual_11,1,0,0,0
aquien_cual_16,1,0,0,0
aquien_cual_2,1,1,0,0
aquien_cual_3,1,1,0,0
aquien_cual_4,1,1,0,0
aquien_cual_5,1,1,0,0
aquien_cual_6,1,1,0,0
aquien_cual_7,1,1,0,0
aquien_cual_8,1,1,0,0
aquien_cual_9,1,0,0,0
aquien_deben_1,1,1,0,0
aquien_deben_10,1,0,0,0
aquien_deben_11,1,0,0,0
aquien_deben_12,1,0,0,0
aquien_deben_13,1,0,0,0
aquien_deben_15,1,0,0,0
aquien_deben_16,1,0,0,0
aquien_deben_2,1,1,0,0
aquien_deben_3,1,1,0,0
aquien_deben_4,1,1,0,0
aquien_deben_5,1,1,0,0
aquien_deben_6,1,1,0,0
aquien_deben_7,1,1,0,0
aquien_deben_8,1,1,0,0
aquien_deben_9,1,0,0,0
arren_bodega,1,0,0,0
arren_casa,1,0,0,0
arren_cuarto,1,0,0,0
arren_finca,1,0,0,0
arren_garaje,1,0,0,0
arren_local,1,0,0,0
arren_oficina,1,0,0,0
artritis_m,0,0,1,1
artritis_p,0,0,1,1
asma_m,0,0,1,1
asma_p,0,0,1,1
asoc_vigil,0,0,1,1
automoviles,1,1,0,0
avalancha,1,1,0,0
ayu_ali_per,1,1,0,0
ayu_ali_vr,1,1,0,0
ayu_alimentos,1,1,0,0
ayu_desplazados,1,1,0,0
ayu_emergencias,1,1,0,0
ayu_fam_colom,1,1,0,0
ayu_fam_ext,1,1,0,0
ayu_fc_per,1,1,0,0
ayu_fc_vr,1,1,0,0
ayu_fe_per,1,1,0,0
ayu_fe_vr,1,1,0,0
ayu_oi_per,1,1,0,0
ayu_oi_vr,1,1,0,0
ayu_ong,1,1,0,0
ayu_ong_per,1,1,0,0
ayu_ong_vr,1,1,0,0
ayu_orgintern,1,1,0,0
ayu_rel_per,1,1,0,0
ayu_rel_vr,1,1,0,0
ayu_religiosas,1,1,0,0
beca_accionsocial,0,0,1,1
beca_cajacom,0,0,1,1
beca_cual,0,0,1,1
beca_emp_pri,0,0,1,1
beca_emp_pub,0,0,1,1
beca_misma_ins,0,0,1,1
beca_otro,0,0,1,1
beca_periodicidad,0,0,1,1
beca_prg_gob,0,0,1,1
benef_antes_1,0,0,1,0
benef_antes_2,0,0,1,0
benef_antes_3,0,0,1,0
benef_antes_4,0,0,1,0
benef_antes_5,0,0,1,0
benef_antesm_1,0,0,1,0
benef_antesm_2,0,0,1,0
benef_antesm_3,0,0,1,0
benef_antesm_4,0,0,1,0
benef_antesm_5,0,0,1,0
beneficiario_1,0,0,1,0
beneficiario_2,0,0,1,0
beneficiario_3,0,0,1,0
beneficiario_4,0,0,1,0
beneficiario_5,0,0,1,0
beneficiario_orden,0,0,1,1
beneficiario_sss,0,0,1,1
bronquitis_m,0,0,1,1
bronquitis_p,0,0,1,1
bustrab_fh,0,0,0,1
bustrab_fh1,0,0,0,1
bustrab_fh10,0,0,0,1
bustrab_fh11,0,0,0,1
bustrab_fh12,0,0,0,1
bustrab_fh2,0,0,0,1
bustrab_fh3,0,0,0,1
bustrab_fh4,0,0,0,1
bustrab_fh5,0,0,0,1
bustrab_fh6,0,0,0,1
bustrab_fh7,0,0,0,1
bustrab_fh8,0,0,0,1
bustrab_fh9,0,0,0,1
cabecera_nac,0,0,1,1
cabecera_vivia,0,0,1,1
cabecera_vivia5,0,0,1,1
caja_saludrec,1,1,0,0
caja_subsprest,1,1,0,0
califica_salud,0,0,1,1
cambio_vivienda,1,1,0,0
cancer_m,0,0,1,1
cancer_p,0,0,1,1
cargo1,0,0,0,1
cargo10,0,0,0,1
cargo11,0,0,0,1
cargo12,0,0,0,1
cargo2,0,0,0,1
cargo3,0,0,0,1
cargo4,0,0,0,1
cargo5,0,0,0,1
cargo6,0,0,0,1
cargo7,0,0,0,1
cargo8,0,0,0,1
cargo9,0,0,0,1
cargo_cr,0,0,0,1
casas,1,1,0,0
ceguera,0,0,1,1
cerebral_m,0,0,1,1
cerebral_p,0,0,1,1
choquec_1,0,1,0,0
choquec_2,0,1,0,0
choquec_3,0,1,0,0
choquec_4,0,1,0,0
choquec_5,0,1,0,0
cocina_es,1,1,0,0
cod_oficio,0,0,1,0
cod_oficio2,0,0,1,0
cod_oficio2_ta,0,0,1,0
cod_oficio_trabajaba,0,0,1,0
cod_programa_1,0,0,1,0
cod_programa_2,0,0,1,0
cod_programa_3,0,0,1,0
cod_programa_4,0,0,1,0
cod_programa_5,0,0,1,0
cod_rama,0,0,1,1
cod_rama1,0,0,1,1
cod_rama1_ta,0,0,1,0
cod_rama_trabajaba,0,0,1,0
compro_vc_cual,1,0,0,0
compro_vivcuando,1,0,0,0
con_quien_1,1,1,0,0
con_quien_10,1,0,0,0
con_quien_14,1,0,0,0
con_quien_2,1,1,0,0
con_quien_3,1,1,0,0
con_quien_4,1,1,0,0
con_quien_5,1,1,0,0
con_quien_6,1,1,0,0
con_quien_7,1,1,0,0
con_quien_8,1,1,0,0
con_quien_9,1,0,0,0
conquien_cual_1,1,1,0,0
conquien_cual_2,1,1,0,0
conquien_cual_3,1,1,0,0
conquien_cual_4,1,1,0,0
conquien_cual_5,1,0,0,0
consecutivo,1,1,1,1
consecutivo_c,1,1,0,0
consulta_libros,0,0,1,1
contabilidad,0,0,1,0
corazon_m,0,0,1,1
corazon_p,0,0,1,1
coronaria_m,0,0,1,1
coronaria_p,0,0,1,1
cotiza_fp,0,0,1,1
cr_activ1_ma,0,0,0,1
cr_activ1_no,0,0,0,1
cr_activ1_ta,0,0,0,1
cr_activ2_ma,0,0,0,1
