articulo,factor_respaldo,supuesto
ropa_para_hombre_mujer_nino_y_nina,0.3333,"Capitulo IX-B del manual metodologico (Gastos TRIMESTRALES, cod_articulo 21-25): periodo fijo de 3 meses. Confirmado contra ELCA-Manual-Hogar-Urbano2010.pdf y cod_articulo de los .tab crudos."
calzado_para_hombre_mujer_nino_y_nina,0.3333,"Capitulo IX-B del manual metodologico (Gastos TRIMESTRALES, cod_articulo 21-25): periodo fijo de 3 meses. Confirmado contra ELCA-Manual-Hogar-Urbano2010.pdf y cod_articulo de los .tab crudos."
reparacion_de_calzado_y_o_vestuario,0.3333,"Capitulo IX-B del manual metodologico (Gastos TRIMESTRALES, cod_articulo 21-25): periodo fijo de 3 meses. Confirmado contra ELCA-Manual-Hogar-Urbano2010.pdf y cod_articulo de los .tab crudos."
reparacion_repuestos_y_mantenimiento_de_vehiculo_de_uso_del_hogar,0.3333,"Capitulo IX-B del manual metodologico (Gastos TRIMESTRALES, cod_articulo 21-25): periodo fijo de 3 meses. Confirmado contra ELCA-Manual-Hogar-Urbano2010.pdf y cod_articulo de los .tab crudos."
libros_discos_y_cds,0.3333,"Capitulo IX-B del manual metodologico (Gastos TRIMESTRALES, cod_articulo 21-25): periodo fijo de 3 meses. Confirmado contra ELCA-Manual-Hogar-Urbano2010.pdf y cod_articulo de los .tab crudos."
articulos_de_aseo_personal_crema_dental_jabon_champu_papel_higienico_desodorantes_toallas_higienicas_panales_desechables_maquinas_y_cuchillas_de_afeitar_desechables,2.0329,"Sin periodo dominante claro. Factor = promedio ponderado por la distribucion real de periodicidad observada en ola 1 urbana (unica fuente con dato individual para este articulo), calculado en tiempo de ejecucion."
articulos_para_el_aseo_del_hogar_detergentes_desinfectantes_escobas_ceras_servilletas_etc,2.4795,"Sin periodo dominante claro. Factor = promedio ponderado por la distribucion real de periodicidad observada en ola 1 urbana (unica fuente con dato individual para este articulo), calculado en tiempo de ejecucion."
corte_de_pelo_arreglo_de_unas,1.2692,"Sin periodo dominante claro. Factor = promedio ponderado por la distribucion real de periodicidad observada en ola 1 urbana (unica fuente con dato individual para este articulo), calculado en tiempo de ejecucion."
bombillos_pilas_y_otros_articulos_electricos_velas_y_velones,0.7883,"Sin periodo dominante claro. Factor = promedio ponderado por la distribucion real de periodicidad observada en ola 1 urbana (unica fuente con dato individual para este articulo), calculado en tiempo de ejecucion."
algodon_gasas_alcohol_curitas_anticonceptivos_condones_aspirinas_y_otros_elementos_de_botiquin,1.0184,"Sin periodo dominante claro. Factor = promedio ponderado por la distribucion real de periodicidad observada en ola 1 urbana (unica fuente con dato individual para este articulo), calculado en tiempo de ejecucion."
empleados_del_servicio_domestico_internos,2.5646,"Sin periodo dominante claro. Factor = promedio ponderado por la distribucion real de periodicidad observada en ola 1 urbana (unica fuente con dato individual para este articulo), calculado en tiempo de ejecucion."
anillos_relojes_y_otros_articulos_de_joyeria_artesanias_porcelanas_etc,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
colchones_cobijas_manteles_y_ropa_de_cama,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
compra_de_bienes_raices_diferentes_a_la_vivienda_que_ocupa_el_hogar,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
compra_de_computador_personal,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
compra_y_sostenimiento_de_mascotas,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
conexion_o_pago_por_uso_de_internet,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
cuadros_y_obras_originales_de_arte,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
