columna,cobertura_ola1,cobertura_ola2,cobertura_ola3,clasificacion
llave_n16,0.0,0.0,1.0,IDENTIFICADOR
llave,0.0,1.0,0.961442503969154,IDENTIFICADOR
consecutivo,1.0,1.0,1.0,IDENTIFICADOR
consecutivo_c,1.0,1.0,1.0,IDENTIFICADOR
hogar_n16,0.0,0.0,1.0,IDENTIFICADOR
hogar,0.0,1.0,0.961442503969154,IDENTIFICADOR
ola,1.0,1.0,1.0,IDENTIFICADOR
zona,1.0,1.0,1.0,IDENTIFICADOR
zona_2010,0.0,1.0,1.0,EXCLUIDA_NO_EN_OLA1
zona_2016,0.0,0.0,1.0,EXCLUIDA_SOLO_OLA3
region,1.0,1.0,0.9958040371966432,IDENTIFICADOR
RegionLb,0.0,1.0,1.0,EXCLUIDA_NO_EN_OLA1
region_2016,0.0,0.0,0.9958040371966432,EXCLUIDA_SOLO_OLA3
id_dpto,1.0,1.0,1.0,IDENTIFICADOR
id_mpio,1.0,1.0,1.0,IDENTIFICADOR
id_mpioU,1.0,1.0,1.0,IDENTIFICADOR
estrato,0.5353699380899218,0.500485908649174,0.4861646631889317,CANDIDATO_BENCHMARK
t_hogar,1.0,0.0,0.5511453844409163,EXCLUIDA_OTRO_PATRON
t_personas,1.0,1.0,1.0,CANDIDATO_BENCHMARK
ordeninforma,1.0,0.0,0.0,EXCLUIDA_NO_EN_OLA2
tipo_vivienda,1.0,1.0,1.0,CANDIDATO_BENCHMARK
material_pisos,1.0,1.0,1.0,CANDIDATO_BENCHMARK
material_paredes,1.0,1.0,1.0,CANDIDATO_BENCHMARK
sp_energia,1.0,1.0,1.0,CANDIDATO_BENCHMARK
sp_estrato,0.5337460671876586,1.0,1.0,CANDIDATO_BENCHMARK
sp_gasnatural,1.0,1.0,1.0,CANDIDATO_BENCHMARK
sp_acueducto,1.0,1.0,1.0,CANDIDATO_BENCHMARK
sp_alcantarillado,1.0,1.0,1.0,CANDIDATO_BENCHMARK
sp_telefono,1.0,1.0,1.0,CANDIDATO_BENCHMARK
sp_recoleccion_basura,1.0,1.0,1.0,CANDIDATO_BENCHMARK
eliminan_basura,1.0,1.0,1.0,CANDIDATO_BENCHMARK
t_hogares,1.0,1.0,1.0,CANDIDATO_BENCHMARK
uc_fabricas,1.0,0.0,0.0,EXCLUIDA_NO_EN_OLA2
uc_basureros,1.0,0.0,0.0,EXCLUIDA_NO_EN_OLA2
uc_plaza_mercado,1.0,0.0,0.0,EXCLUIDA_NO_EN_OLA2
uc_terminal_bus,1.0,0.0,0.0,EXCLUIDA_NO_EN_OLA2
uc_aeropuerto,1.0,0.0,0.0,EXCLUIDA_NO_EN_OLA2
uc_cagno_agua,1.0,0.0,0.0,EXCLUIDA_NO_EN_OLA2
uc_planta_tratamiento,1.0,0.0,0.0,EXCLUIDA_NO_EN_OLA2
