columna,tipo,n_valores_residuales,ejemplo
no_seguros,texto_libre_no_tocado,353,
no_credito_cual,texto_libre_no_tocado,80,
rechazo_cred_cual,texto_libre_no_tocado,67,
retpag_otro_cual,texto_libre_no_tocado,52,
conquien_cual_1,texto_libre_no_tocado,47,
destino_cual_1,texto_libre_no_tocado,34,
uay_otros_cual,texto_libre_no_tocado,32,
destino_cual_2,texto_libre_no_tocado,29,
otra_financiacion_cual,texto_libre_no_tocado,29,
conquien_cual_2,texto_libre_no_tocado,27,
con_quien_4,texto_libre_no_tocado,24,
conquien_cual_3,texto_libre_no_tocado,11,
no_seguros_cual,texto_libre_no_tocado,9,
act_otrosing_cual,texto_libre_no_tocado,8,
aquien_cual_2,texto_libre_no_tocado,8,
con_quien_5,texto_libre_no_tocado,7,
aquien_cual_1,texto_libre_no_tocado,7,
destino_cual_4,texto_libre_no_tocado,6,
aquien_cual_3,texto_libre_no_tocado,5,
destino_cual_3,texto_libre_no_tocado,5,
otro_desastre_cual,texto_libre_no_tocado,4,
con_quien_7,texto_libre_no_tocado,3,
con_quien_6,texto_libre_no_tocado,3,
bef_otro_cual,texto_libre_no_tocado,2,
destino_cual_5,texto_libre_no_tocado,2,
aquien_cual_6,texto_libre_no_tocado,2,
conquien_cual_5,texto_libre_no_tocado,2,
otro_programa_cual,texto_libre_no_tocado,1,
destino_cual_6,texto_libre_no_tocado,1,
conquien_cual_7,texto_libre_no_tocado,1,
destino_cual_8,texto_libre_no_tocado,1,
aquien_cual_4,texto_libre_no_tocado,1,
recibio_alim_cual,texto_libre_no_tocado,1,
relacion_cual,texto_libre_no_tocado,1,
