columna,cobertura_ola1,cobertura_ola2,cobertura_ola3,clasificacion
zona,1.0,1.0,1.0,IDENTIFICADOR
ola,1.0,1.0,1.0,IDENTIFICADOR
llaveper_n16,0.0,0.0,1.0,IDENTIFICADOR
llaveper,0.0,1.0,0.9563957920414696,IDENTIFICADOR
llave_ID_lb,1.0,0.7693567026194145,0.9998475377344108,IDENTIFICADOR
consecutivo,1.0,1.0,1.0,IDENTIFICADOR
hogar,0.0,1.0,0.965086141180058,IDENTIFICADOR
hogar_n16,0.0,0.0,1.0,IDENTIFICADOR
orden,1.0,1.0,1.0,IDENTIFICADOR
llave,0.0,1.0,0.965086141180058,IDENTIFICADOR
llave_n16,0.0,0.0,1.0,IDENTIFICADOR
edad_nino,0.0,0.9981702619414484,1.0,EXCLUIDA_NO_EN_OLA1
edad_meses_nino,0.0,0.9975924499229584,1.0,EXCLUIDA_NO_EN_OLA1
edad_mm,0.4652018865754055,0.3495762711864407,0.0,CANDIDATO_BENCHMARK
edad_ames,1.0,0.997977657935285,0.9753011129745388,CANDIDATO_BENCHMARK
padre_vive,1.0,0.99826656394453,1.0,CANDIDATO_BENCHMARK
orden_padre,0.6539744622109743,0.635882126348228,0.6330233267266352,CANDIDATO_BENCHMARK
ano_nac_p,0.3460255377890257,0.0152157164869029,0.0391828022564415,CANDIDATO_BENCHMARK
educ_padre,0.3455653974462211,0.361517719568567,0.3668242110077755,CANDIDATO_BENCHMARK
trabajo_padre,0.3455653974462211,0.3613251155624037,0.3666717487421863,CANDIDATO_BENCHMARK
madre_vive,1.0,0.99942218798151,1.0,CANDIDATO_BENCHMARK
orden_madre,0.9183250891521916,0.904853620955316,0.8980027443207806,CANDIDATO_BENCHMARK
ano_nac_m,0.0816749108478085,0.0052003081664098,0.0106723585912486,EXCLUIDA_OTRO_PATRON
educ_madre,0.0815598757621074,0.0950500770416024,0.1018447934136301,CANDIDATO_BENCHMARK
trabajo_madre,0.0815598757621074,0.0944722650231124,0.1018447934136301,CANDIDATO_BENCHMARK
seguimiento,1.0,0.0,0.0,EXCLUIDA_NO_EN_OLA2
pesomamanino,0.1731278039802139,0.1001540832049306,0.0,CANDIDATO_BENCHMARK
pesomama,0.1728977338088116,0.050173343605547,0.0,CANDIDATO_BENCHMARK
pesonino,0.4657770620039111,0.351213405238829,0.5519134014331453,CANDIDATO_BENCHMARK
talla_cm,0.4658920970896123,0.3511171032357473,0.551760939167556,CANDIDATO_BENCHMARK
fecham_dia,0.4662372023467157,0.351213405238829,0.5520658636987346,CANDIDATO_BENCHMARK
fecham_mes,0.4662372023467157,0.351213405238829,0.5520658636987346,CANDIDATO_BENCHMARK
fecham_ano,0.4662372023467157,0.351213405238829,0.5520658636987346,CANDIDATO_BENCHMARK
resultado_m,0.4671574830323248,0.3515986132511556,0.5520658636987346,CANDIDATO_BENCHMARK
pesaron_nacer,0.4661221672610146,0.3666217257318952,0.0,CANDIDATO_BENCHMARK
pesaron_nacer_gr,0.4340273783503969,0.2909283513097072,0.0,CANDIDATO_BENCHMARK
pecho,0.4661221672610146,0.3666217257318952,0.0,CANDIDATO_BENCHMARK
pecho_meses,0.3252041872771195,0.0,0.0,EXCLUIDA_NO_EN_OLA2
asiste,0.4818819740020706,0.3660439137134052,0.0,CANDIDATO_BENCHMARK
tipo_hogar,0.1444840676406304,0.18576656394453,0.0,CANDIDATO_BENCHMARK
horas_asiste,0.1444840676406304,0.1445493066255778,0.0,CANDIDATO_BENCHMARK
vr_guarderia,0.1444840676406304,0.0,0.0,EXCLUIDA_NO_EN_OLA2
calidad_guarderia,0.1443690325549292,0.0,0.0,EXCLUIDA_NO_EN_OLA2
razon_no_asiste,0.3373979063614402,0.1789291217257319,0.0,CANDIDATO_BENCHMARK
razon_no_asiste_cual,0.0072472103991717,0.997977657935285,0.0,EXCLUIDA_NO_EN_OLA1
con_quien,0.9997699298285976,0.3231895223420647,0.0,CANDIDATO_BENCHMARK
con_quien_orden,0.8429771080179455,0.3020030816640986,0.0,CANDIDATO_BENCHMARK
quien_cuida,0.0594731393074887,0.0204160246533127,0.0,CANDIDATO_BENCHMARK
persona_cuida,0.0560220867364546,0.0191640986132511,0.0,CANDIDATO_BENCHMARK
pcuida_edad,0.0560220867364546,0.0191640986132511,0.0,CANDIDATO_BENCHMARK
pcuida_niveledu,0.0560220867364546,0.0191640986132511,0.0,CANDIDATO_BENCHMARK
paga_cuida,0.0278384907396756,0.0,0.0,EXCLUIDA_NO_EN_OLA2
pcuida_horas,0.1543770850109283,0.322804314329738,0.0,CANDIDATO_BENCHMARK
calidad_cuidado,0.1543770850109283,0.0,0.0,EXCLUIDA_NO_EN_OLA2
cuidado_prefiere,0.4818819740020706,0.322804314329738,0.0,CANDIDATO_BENCHMARK
cuidado_prefiere_cual,0.0014954561141148,0.997977657935285,0.0,EXCLUIDA_NO_EN_OLA1
lee_libros,0.4818819740020706,0.0,0.0,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
conversa,0.4818819740020706,0.0,0.0,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
juega_encasa,0.4818819740020706,0.0,0.0,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
juega_fueradecasa,0.4818819740020706,0.0,0.0,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
ven_television,0.4818819740020706,0.0,0.0,EXCLUIDA_NO_EN_OLA2
ensena,0.4818819740020706,0.0,0.0,"CANDIDATO_BENCHMARK (rescatada, renombrada entre olas, 2026-08-09)"
asistio_control,0.4818819740020706,0.3666217257318952,0.0,CANDIDATO_BENCHMARK
asistio_control_veces,0.4014724490969746,0.3214560862865948,0.0,CANDIDATO_BENCHMARK
tuvo_pagar,0.4014724490969746,0.0,0.0,EXCLUIDA_NO_EN_OLA2
vr_tuvo_pagar,0.0387668238812837,0.0,0.0,EXCLUIDA_NO_EN_OLA2
mostro_carnet,0.4818819740020706,0.359784283513097,0.0,CANDIDATO_BENCHMARK
antituberculosa,0.4818819740020706,0.3666217257318952,0.0,CANDIDATO_BENCHMARK
voprn,0.4818819740020706,0.3593990755007704,0.0,CANDIDATO_BENCHMARK
vop1,0.4719889566317727,0.3557395993836671,0.0,CANDIDATO_BENCHMARK
