columna,patron_ola1_ola2_ola3,cobertura_ola1,cobertura_ola2,cobertura_ola3,clasificacion
actividad_ppal,111,0.203,0.782,0.799,CANDIDATO_BENCHMARK
actividad_principal,111,0.045,0.174,0.157,CANDIDATO_BENCHMARK
afiliacion,111,0.392,0.395,0.77,CANDIDATO_BENCHMARK
ahorra,111,0.392,0.395,0.39,CANDIDATO_BENCHMARK
ahorro_carro,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
ahorro_casa,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
ahorro_educ,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
ahorro_futuro,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
ahorro_montar,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
ahorro_otro,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
ahorro_otros_act,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
ahorro_recre,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
ano_unionm,111,0.069,0.124,0.141,CANDIDATO_BENCHMARK
anos_superior,111,0.042,0.08,0.043,CANDIDATO_BENCHMARK
anos_trabaja,111,0.038,0.116,0.112,CANDIDATO_BENCHMARK
asoc_vigil,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
beca_accionsocial,111,0.019,0.261,0.054,CANDIDATO_BENCHMARK
beca_cajacom,111,0.019,0.261,0.054,CANDIDATO_BENCHMARK
beca_emp_pri,111,0.019,0.261,0.054,CANDIDATO_BENCHMARK
beca_emp_pub,111,0.019,0.261,0.054,CANDIDATO_BENCHMARK
beca_misma_ins,111,0.019,0.261,0.054,CANDIDATO_BENCHMARK
beca_otro,111,0.019,0.261,0.054,CANDIDATO_BENCHMARK
beca_prg_gob,111,0.019,0.261,0.054,CANDIDATO_BENCHMARK
beneficiario_orden,111,0.181,0.078,0.042,CANDIDATO_BENCHMARK
beneficiario_sss,111,0.201,0.261,0.184,CANDIDATO_BENCHMARK
ceguera,111,0.201,0.655,0.954,CANDIDATO_BENCHMARK
cod_oficio2,111,0.141,0.144,0.148,CANDIDATO_BENCHMARK
consulta_libros,111,0.115,0.187,0.179,CANDIDATO_BENCHMARK
cr_arriendos,111,0.203,0.202,0.391,CANDIDATO_BENCHMARK
cr_dividendos,111,0.203,0.202,0.391,CANDIDATO_BENCHMARK
credito_estudiar,111,0.115,0.197,0.188,CANDIDATO_BENCHMARK
descrip_oficio,111,0.141,0.144,0.206,CANDIDATO_BENCHMARK
descripcion_ciiu,111,0.14,0.144,0.148,CANDIDATO_BENCHMARK
dias_noasistio,111,0.078,0.121,0.116,CANDIDATO_BENCHMARK
dif_aprender,111,0.201,0.655,0.954,CANDIDATO_BENCHMARK
dif_banarse,111,0.201,0.628,0.954,CANDIDATO_BENCHMARK
dif_calle,111,0.201,0.519,0.954,CANDIDATO_BENCHMARK
dif_moverse,111,0.201,0.628,0.954,CANDIDATO_BENCHMARK
diligencias12,111,0.048,0.253,0.262,CANDIDATO_BENCHMARK
diligencias4,111,0.061,0.28,0.288,CANDIDATO_BENCHMARK
disponibilidad,111,0.018,0.037,0.037,CANDIDATO_BENCHMARK
edad,111,1.0,1.0,1.0,CANDIDATO_BENCHMARK
edad_dejoestudio,111,0.35,0.535,0.192,CANDIDATO_BENCHMARK
edad_meses,111,1.0,0.999,1.0,CANDIDATO_BENCHMARK
edad_tenia,111,0.184,0.02,0.021,CANDIDATO_BENCHMARK
edad_unionm,111,0.332,0.258,0.2,CANDIDATO_BENCHMARK
estado_civil,111,0.392,1.0,1.0,CANDIDATO_BENCHMARK
estudia,111,0.496,0.884,0.88,CANDIDATO_BENCHMARK
etnia,111,0.594,0.655,0.138,CANDIDATO_BENCHMARK
ev_acci,111,0.593,0.655,0.574,CANDIDATO_BENCHMARK
ev_ciru,111,0.593,0.655,0.574,CANDIDATO_BENCHMARK
ev_enfe,111,0.593,0.655,0.574,CANDIDATO_BENCHMARK
ev_odon,111,0.593,0.655,0.574,CANDIDATO_BENCHMARK
finan_educ_pago,111,0.116,0.075,0.077,CANDIDATO_BENCHMARK
grado_educ,111,0.348,0.536,0.192,CANDIDATO_BENCHMARK
grado_educ_cursa,111,0.115,0.312,0.29,CANDIDATO_BENCHMARK
horas_normal,111,0.184,0.15,0.158,CANDIDATO_BENCHMARK
hospital_veces,111,0.056,0.054,0.043,CANDIDATO_BENCHMARK
hospitalizado,111,0.593,0.655,0.574,CANDIDATO_BENCHMARK
id_dpto_nac,111,0.199,1.0,0.138,CANDIDATO_BENCHMARK
id_mpio_nac,111,0.199,1.0,0.138,CANDIDATO_BENCHMARK
junta_edif,111,0.392,0.203,0.206,CANDIDATO_BENCHMARK
lee_escribe,111,0.496,0.893,0.88,CANDIDATO_BENCHMARK
lugar_ahorra,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
madre_vive,111,1.0,1.0,1.0,CANDIDATO_BENCHMARK
medio_consiguio,111,0.141,0.144,0.148,CANDIDATO_BENCHMARK
mes_unionm,111,0.069,0.124,0.141,CANDIDATO_BENCHMARK
meses_ganancia,111,0.06,0.061,0.067,CANDIDATO_BENCHMARK
meses_trabaja,111,0.038,0.116,0.112,CANDIDATO_BENCHMARK
mov_parpol,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
mudez,111,0.201,0.655,0.954,CANDIDATO_BENCHMARK
n_empleados,111,0.057,0.14,0.145,CANDIDATO_BENCHMARK
nac_ano,111,1.0,1.0,1.0,CANDIDATO_BENCHMARK
nac_dia,111,1.0,1.0,1.0,CANDIDATO_BENCHMARK
nac_mes,111,1.0,1.0,1.0,CANDIDATO_BENCHMARK
nivel_educ,111,0.379,0.579,0.202,CANDIDATO_BENCHMARK
nivel_educ_cursa,111,0.115,0.312,0.29,CANDIDATO_BENCHMARK
ocupacion,111,0.184,0.302,0.319,CANDIDATO_BENCHMARK
ocupacion2,111,0.012,0.021,0.016,CANDIDATO_BENCHMARK
ofertas_empleo,110,0.018,0.012,0.01,CANDIDATO_BENCHMARK
orden_conyuge,111,0.327,0.377,0.386,CANDIDATO_BENCHMARK
orden_madre,111,0.496,0.491,0.472,CANDIDATO_BENCHMARK
orden_padre,111,0.339,0.331,0.307,CANDIDATO_BENCHMARK
orden_tareas,111,0.095,0.147,0.121,CANDIDATO_BENCHMARK
org_caridad,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
org_comunitaria,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
org_culdep,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
org_educ,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
org_etnica,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
org_iestado,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
org_jac,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
org_mamb,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
org_otra,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
org_religiosa,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
padre_vive,111,1.0,1.0,1.0,CANDIDATO_BENCHMARK
parentesco,111,1.0,1.0,1.0,CANDIDATO_BENCHMARK
pds,111,0.017,0.025,0.025,CANDIDATO_BENCHMARK
pin,111,0.045,0.152,0.165,CANDIDATO_BENCHMARK
poc,111,0.141,0.227,0.243,CANDIDATO_BENCHMARK
prepagada,111,0.392,0.395,0.391,CANDIDATO_BENCHMARK
prestamo_libros,111,0.021,0.041,0.042,CANDIDATO_BENCHMARK
prev_malter,111,0.593,0.655,0.574,CANDIDATO_BENCHMARK
prev_med,111,0.593,0.655,0.574,CANDIDATO_BENCHMARK
prev_odo,111,0.593,0.655,0.574,CANDIDATO_BENCHMARK
prev_opto,111,0.593,0.655,0.574,CANDIDATO_BENCHMARK
prev_pediatra,111,0.201,0.26,0.184,CANDIDATO_BENCHMARK
prev_planif,111,0.392,0.527,0.391,CANDIDATO_BENCHMARK
razon_dejo_bus,111,0.031,0.036,0.037,CANDIDATO_BENCHMARK
razon_dejo_trab,111,0.032,0.049,0.048,CANDIDATO_BENCHMARK
razon_noestudia,111,0.381,0.58,0.203,CANDIDATO_BENCHMARK
razon_tiene_negocio,111,0.062,0.066,0.071,CANDIDATO_BENCHMARK
rec_alimentos_pago,111,0.116,0.075,0.077,CANDIDATO_BENCHMARK
rec_almuerzo,111,0.115,0.187,0.179,CANDIDATO_BENCHMARK
rec_balimenta,111,0.115,0.187,0.179,CANDIDATO_BENCHMARK
rec_bfotocop,111,0.115,0.187,0.179,CANDIDATO_BENCHMARK
rec_btransp,111,0.115,0.187,0.179,CANDIDATO_BENCHMARK
rec_desayuno,111,0.115,0.187,0.179,CANDIDATO_BENCHMARK
rec_otros_pago,111,0.073,0.075,0.077,CANDIDATO_BENCHMARK
rec_refrigerio,111,0.115,0.187,0.179,CANDIDATO_BENCHMARK
rec_uniformes,111,0.115,0.187,0.179,CANDIDATO_BENCHMARK
rec_vivienda_pago,111,0.116,0.075,0.077,CANDIDATO_BENCHMARK
recibio_beca,111,0.115,0.197,0.188,CANDIDATO_BENCHMARK
registro_mercantil,110,0.062,0.066,0.0,CANDIDATO_BENCHMARK
seguimiento,111,1.0,1.0,1.0,CANDIDATO_BENCHMARK
sexo,111,1.0,1.0,1.0,CANDIDATO_BENCHMARK
sordera,111,0.201,0.655,0.954,CANDIDATO_BENCHMARK
t_busco_trab,111,0.045,0.048,0.049,CANDIDATO_BENCHMARK
t_bustrab_a,111,0.017,0.045,0.042,CANDIDATO_BENCHMARK
t_bustrab_m,111,0.017,0.045,0.042,CANDIDATO_BENCHMARK
tareas,111,0.115,0.187,0.179,CANDIDATO_BENCHMARK
tipo_estab,111,0.115,0.312,0.29,CANDIDATO_BENCHMARK
ult_hosp_dias,111,0.039,0.036,0.035,CANDIDATO_BENCHMARK
ultima_hosp,111,0.056,0.054,0.043,CANDIDATO_BENCHMARK
vive_conyuge,111,0.332,0.384,0.396,CANDIDATO_BENCHMARK
vr_ahorro,111,0.053,0.062,0.075,CANDIDATO_BENCHMARK
vr_ganancia,111,0.062,0.064,0.069,CANDIDATO_BENCHMARK
vr_rec_arriendos,111,0.011,0.013,0.019,CANDIDATO_BENCHMARK
vr_rec_pension,111,0.011,0.012,0.014,CANDIDATO_BENCHMARK
vr_salario,111,0.116,0.075,0.077,CANDIDATO_BENCHMARK
activ_especfq3,000,0.0,0.003,0.0,EXCLUIDA_CASI_VACIA
activ_especfq4,000,0.0,0.001,0.0,EXCLUIDA_CASI_VACIA
activ_especfq5,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
activ_especfq6,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
adq_cpropia,000,0.0,0.005,0.006,EXCLUIDA_CASI_VACIA
adq_eps,000,0.0,0.005,0.006,EXCLUIDA_CASI_VACIA
adq_icbf,000,0.0,0.005,0.006,EXCLUIDA_CASI_VACIA
adq_ong,000,0.0,0.005,0.006,EXCLUIDA_CASI_VACIA
adq_otra,000,0.0,0.0,0.006,EXCLUIDA_CASI_VACIA
adq_prg_gob,000,0.0,0.005,0.006,EXCLUIDA_CASI_VACIA
afiliacion_fp2,000,0.0,0.0,0.001,EXCLUIDA_CASI_VACIA
afiliacion_fp3,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
afiliacion_fp4,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
afiliacion_fp5,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
afiliacion_fp6,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_dejo_t,000,0.003,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_desde_2,000,0.0,0.003,0.001,EXCLUIDA_CASI_VACIA
ano_desde_3,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_hasta_2,000,0.0,0.003,0.001,EXCLUIDA_CASI_VACIA
ano_hasta_3,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_hijo10h,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_hijo4h,000,0.0,0.0,0.007,EXCLUIDA_CASI_VACIA
ano_hijo4m,000,0.0,0.0,0.005,EXCLUIDA_CASI_VACIA
ano_hijo5h,000,0.0,0.0,0.002,EXCLUIDA_CASI_VACIA
ano_hijo5m,000,0.0,0.0,0.002,EXCLUIDA_CASI_VACIA
ano_hijo6h,000,0.0,0.0,0.001,EXCLUIDA_CASI_VACIA
ano_hijo6m,000,0.0,0.0,0.001,EXCLUIDA_CASI_VACIA
ano_hijo7h,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_hijo7m,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_hijo8h,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_hijo8m,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_hijo9h,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
ano_hijo9m,000,0.0,0.0,0.0,EXCLUIDA_CASI_VACIA
