consecutivo,ola,zona_archivo,zona,region,t_hogar,t_personas,es_split,lat_decimal,lon_decimal,coord_valida_ola,hogar,llave,zona_2010,RegionLb,hogar_n16,llave_n16,zona_2016,region_2016,cambio_residencia_ola
121116,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121117,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121118,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121119,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121120,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121121,2010,rural,Rural,Eje Cafetero,2,5,0,,,,,,,,,,,,
121122,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121123,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121124,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121125,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121127,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121128,2010,rural,Rural,Eje Cafetero,4,3,0,,,,,,,,,,,,
121129,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121130,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121131,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121132,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
121133,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
121134,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121135,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121136,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121137,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121138,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121139,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121141,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121201,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121203,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121204,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121205,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121206,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121207,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121208,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121209,2010,rural,Rural,Eje Cafetero,2,2,0,,,,,,,,,,,,
121210,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121211,2010,rural,Rural,Eje Cafetero,1,8,0,,,,,,,,,,,,
121212,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121213,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121214,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121215,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121216,2010,rural,Rural,Eje Cafetero,2,2,0,,,,,,,,,,,,
121217,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121218,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121219,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121220,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121221,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121222,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121223,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121224,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121225,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121226,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121227,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121228,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121229,2010,rural,Rural,Eje Cafetero,2,5,0,,,,,,,,,,,,
121230,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121231,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121232,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121233,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121234,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121235,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121236,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121237,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121238,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121239,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121240,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121241,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121242,2010,rural,Rural,Eje Cafetero,2,7,0,,,,,,,,,,,,
121243,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121245,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121248,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121250,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121251,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121252,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121253,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121256,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121257,2010,rural,Rural,Eje Cafetero,2,8,0,,,,,,,,,,,,
121258,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121259,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121260,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121261,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121263,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121264,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121265,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
121266,2010,rural,Rural,Eje Cafetero,1,8,0,,,,,,,,,,,,
121268,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121269,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121270,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121271,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121500,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121501,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121502,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
