panel_id,hogar_id,ola,ano_encuesta,lat,lon,zona,region
P0001,1100001,1,2010,5.593164,-73.374365,2,6
P0002,1100002,1,2010,6.633508,-75.932739,2,7
P0004,1100004,1,2010,4.588644,-74.175499,1,1
P0005,1100005,1,2010,4.657982,-74.228663,1,1
P0006,1100006,1,2010,4.702767,-74.157071,1,1
P0007,1100007,1,2010,7.408631,-75.485717,2,7
P0010,1100010,1,2010,10.978364,-74.785057,1,4
P0012,1100012,1,2010,1.52733,-77.14251,2,8
P0013,1100013,1,2010,5.821385,-73.13307,2,6
P0015,1100015,1,2010,7.301323,-75.422026,2,7
P0016,1100016,1,2010,5.651661,-73.225756,2,6
P0017,1100017,1,2010,10.935177,-74.724864,1,4
P0018,1100018,1,2010,6.225432,-75.486411,1,2
P0019,1100019,1,2010,7.633864,-75.59948,2,7
P0020,1100020,1,2010,6.784744,-75.75864,2,7
P0022,1100022,1,2010,4.690638,-74.050063,1,1
P0023,1100023,1,2010,4.377555,-74.608051,2,1
P0024,1100024,1,2010,6.335444,-75.677694,1,2
P0025,1100025,1,2010,6.256253,-75.494225,1,2
P0026,1100026,1,2010,1.477906,-77.170439,2,8
P0027,1100027,1,2010,1.953791,-77.326931,2,8
P0028,1100028,1,2010,10.346505,-75.452513,1,5
P0029,1100029,1,2010,3.502742,-76.531036,1,3
P0030,1100030,1,2010,3.441566,-76.608994,1,3
P0031,1100031,1,2010,6.295298,-75.555381,1,2
P0034,1100034,1,2010,3.556107,-76.606964,1,3
P0035,1100035,1,2010,8.286253,-75.757076,2,9
P0037,1100037,1,2010,1.465491,-77.592096,2,8
P0039,1100039,1,2010,3.502117,-76.517166,1,3
P0040,1100040,1,2010,6.232368,-75.496772,1,2
P0041,1100041,1,2010,3.472327,-76.484937,1,3
P0042,1100042,1,2010,4.590411,-73.96998,1,1
P0043,1100043,1,2010,6.110747,-73.725975,2,6
P0044,1100044,1,2010,8.569954,-75.903115,2,9
P0045,1100045,1,2010,8.243535,-75.018174,2,9
P0046,1100046,1,2010,4.634504,-74.158956,1,1
P0047,1100047,1,2010,11.016929,-74.859476,1,4
P0048,1100048,1,2010,7.764943,-75.864809,2,9
P0049,1100049,1,2010,6.295679,-75.588747,1,2
P0050,1100050,1,2010,8.116965,-75.200686,2,9
P0051,1100051,1,2010,4.681509,-74.249262,1,1
P0053,1100053,1,2010,10.419054,-75.554114,1,5
P0054,1100054,1,2010,3.962959,-74.142191,2,1
P0055,1100055,1,2010,6.267225,-75.680289,1,2
P0056,1100056,1,2010,4.659561,-74.022636,1,1
P0057,1100057,1,2010,8.086464,-75.11915,2,9
P0058,1100058,1,2010,8.309329,-75.44912,2,9
P0059,1100059,1,2010,4.690891,-73.977246,1,1
P0060,1100060,1,2010,3.715569,-73.994923,2,1
P0061,1100061,1,2010,6.14524,-75.577007,1,2
P0062,1100062,1,2010,6.323809,-75.598219,1,2
P0064,1100064,1,2010,8.562266,-75.269608,2,9
P0065,1100065,1,2010,7.29821,-75.604951,2,7
P0066,1100066,1,2010,4.66345,-74.174707,1,1
P0068,1100068,1,2010,6.588274,-75.922414,2,7
P0069,1100069,1,2010,8.361584,-75.655051,2,9
P0071,1100071,1,2010,10.94253,-74.696111,1,4
P0072,1100072,1,2010,8.788327,-75.50918,2,9
P0073,1100073,1,2010,6.248696,-75.649759,1,2
P0075,1100075,1,2010,3.473665,-76.516822,1,3
P0076,1100076,1,2010,7.204919,-75.624122,2,7
P0077,1100077,1,2010,6.290759,-75.581348,1,2
P0078,1100078,1,2010,10.396695,-75.52922,1,5
P0079,1100079,1,2010,8.592345,-75.130135,2,9
P0080,1100080,1,2010,7.406422,-75.566985,2,7
P0081,1100081,1,2010,10.956186,-74.757841,1,4
P0082,1100082,1,2010,3.482297,-76.566387,1,3
P0083,1100083,1,2010,1.368088,-77.319615,2,8
P0084,1100084,1,2010,4.749198,-74.006243,1,1
P0085,1100085,1,2010,5.679679,-72.786567,2,6
P0086,1100086,1,2010,3.53926,-76.534461,1,3
P0087,1100087,1,2010,4.599732,-74.022498,1,1
P0088,1100088,1,2010,6.179458,-75.533601,1,2
P0089,1100089,1,2010,7.434321,-75.861387,2,7
P0090,1100090,1,2010,6.259418,-75.516943,1,2
P0091,1100091,1,2010,3.513243,-76.53575,1,3
P0092,1100092,1,2010,5.878599,-73.45717,2,6
P0093,1100093,1,2010,8.050607,-76.192169,2,9
P0094,1100094,1,2010,6.311941,-75.635812,1,2
P0096,1100096,1,2010,7.179548,-75.672506,2,7
P0097,1100097,1,2010,8.616267,-75.534655,2,9
P0098,1100098,1,2010,5.648035,-73.092021,2,6
P0099,1100099,1,2010,6.651605,-75.191763,2,7
P0101,1100101,1,2010,10.338316,-75.528491,1,5
P0102,1100102,1,2010,8.750232,-75.156062,2,9
P0103,1100103,1,2010,8.570164,-75.63526,2,9
P0104,1100104,1,2010,4.130462,-74.821971,2,1
P0105,1100105,1,2010,1.413441,-77.853998,2,8
P0106,1100106,1,2010,4.652771,-74.162985,1,1
P0107,1100107,1,2010,5.708468,-73.208186,2,6
P0108,1100108,1,2010,11.054253,-74.830484,1,4
P0109,1100109,1,2010,5.771725,-73.233799,2,6
P0111,1100111,1,2010,3.49513,-76.519398,1,3
P0112,1100112,1,2010,1.374183,-77.31338,2,8
P0114,1100114,1,2010,4.708027,-74.087014,1,1
P0116,1100116,1,2010,1.674595,-77.173856,2,8
P0117,1100117,1,2010,6.26575,-75.721282,1,2
P0118,1100118,1,2010,6.267112,-75.617982,1,2
P0121,1100121,1,2010,8.784285,-75.737626,2,9
P0122,1100122,1,2010,8.504258,-74.974002,2,9
P0123,1100123,1,2010,7.414775,-75.427593,2,7
P0124,1100124,1,2010,8.555525,-75.650035,2,9
P0125,1100125,1,2010,5.550522,-72.957443,2,6
P0126,1100126,1,2010,6.149077,-75.579469,1,2
P0127,1100127,1,2010,6.235032,-75.581734,1,2
P0128,1100128,1,2010,4.020977,-74.418012,2,1
P0129,1100129,1,2010,6.324432,-75.60686,1,2
P0131,1100131,1,2010,6.253004,-75.571048,1,2
P0133,1100133,1,2010,6.367524,-75.547138,1,2
P0134,1100134,1,2010,4.62219,-74.054659,1,1
P0135,1100135,1,2010,10.954686,-74.78399,1,4
P0137,1100137,1,2010,8.905861,-75.322443,2,9
P0138,1100138,1,2010,4.557165,-74.089602,1,1
P0139,1100139,1,2010,10.390036,-75.53944,1,5
P0140,1100140,1,2010,4.66443,-73.950181,1,1
P0141,1100141,1,2010,8.440952,-75.504918,2,9
P0142,1100142,1,2010,3.454295,-76.485608,1,3
P0143,1100143,1,2010,7.338483,-75.768575,2,7
P0144,1100144,1,2010,10.446447,-75.524291,1,5
P0145,1100145,1,2010,6.147164,-72.603789,2,6
P0146,1100146,1,2010,4.184661,-74.410447,2,1
P0147,1100147,1,2010,4.764133,-74.008413,1,1
P0148,1100148,1,2010,6.245395,-75.660593,1,2
P0149,1100149,1,2010,6.867043,-75.183411,2,7
P0150,1100150,1,2010,3.509943,-76.553508,1,3
P0151,1100151,1,2010,6.170056,-75.592121,1,2
P0152,1100152,1,2010,8.033141,-75.610254,2,9
P0153,1100153,1,2010,3.479709,-76.5,1,3
P0154,1100154,1,2010,10.462069,-75.530217,1,5
P0155,1100155,1,2010,4.595468,-74.184565,1,1
P0156,1100156,1,2010,4.653509,-73.998124,1,1
P0157,1100157,1,2010,3.387111,-76.544077,1,3
P0158,1100158,1,2010,4.652125,-74.202258,1,1
P0159,1100159,1,2010,10.355379,-75.399878,1,5
P0160,1100160,1,2010,10.996638,-74.820772,1,4
P0161,1100161,1,2010,3.432178,-76.621069,1,3
P0162,1100162,1,2010,1.352098,-77.64518,2,8
P0163,1100163,1,2010,4.806426,-74.067775,1,1
P0164,1100164,1,2010,5.706073,-72.988166,2,6
P0165,1100165,1,2010,6.658832,-75.650635,2,7
