panel_id,hogar_id,ola,ano_encuesta,calidad_coord,es_outlier_iqr
P0033,1100033,1,2010,fuera_colombia,False
P0052,1100052,1,2010,fuera_colombia,False
P0070,1100070,1,2010,fuera_colombia,False
P0095,1100095,1,2010,fuera_colombia,False
P0100,1100100,1,2010,fuera_colombia,False
P0113,1100113,1,2010,fuera_colombia,False
P0119,1100119,1,2010,fuera_colombia,False
P0120,1100120,1,2010,fuera_colombia,False
P0130,1100130,1,2010,fuera_colombia,False
P0136,1100136,1,2010,fuera_colombia,False
P0181,1100181,1,2010,fuera_colombia,False
P0196,1100196,1,2010,fuera_colombia,False
P0215,1100215,1,2010,fuera_colombia,False
P0221,1100221,1,2010,fuera_colombia,False
P0266,1100266,1,2010,fuera_colombia,False
P0268,1100268,1,2010,fuera_colombia,False
P0272,1100272,1,2010,fuera_colombia,False
P0284,1100284,1,2010,fuera_colombia,False
P0286,1100286,1,2010,fuera_colombia,False
P0307,1100307,1,2010,fuera_colombia,False
P0317,1100317,1,2010,fuera_colombia,False
P0324,1100324,1,2010,fuera_colombia,False
P0336,1100336,1,2010,fuera_colombia,False
P0344,1100344,1,2010,fuera_colombia,False
P0352,1100352,1,2010,fuera_colombia,False
P0355,1100355,1,2010,fuera_colombia,False
P0368,1100368,1,2010,fuera_colombia,False
P0378,1100378,1,2010,fuera_colombia,False
P0393,1100393,1,2010,fuera_colombia,False
P0400,1100400,1,2010,fuera_colombia,False
P0403,1100403,1,2010,fuera_colombia,False
P0406,1100406,1,2010,fuera_colombia,False
P0466,1100466,1,2010,fuera_colombia,False
P0471,1100471,1,2010,fuera_colombia,False
P0482,1100482,1,2010,fuera_colombia,False
P0484,1100484,1,2010,fuera_colombia,False
P0488,1100488,1,2010,fuera_colombia,False
P0490,1100490,1,2010,fuera_colombia,False
P0492,1100492,1,2010,fuera_colombia,False
P0590,1100590,1,2010,fuera_colombia,False
P0615,1100615,1,2010,fuera_colombia,False
P0632,1100632,1,2010,fuera_colombia,False
P0659,1100659,1,2010,fuera_colombia,False
P0666,1100666,1,2010,fuera_colombia,False
P0690,1100690,1,2010,fuera_colombia,False
P0713,1100713,1,2010,fuera_colombia,False
P0772,1100772,1,2010,fuera_colombia,False
P0785,1100785,1,2010,fuera_colombia,False
P0813,1100813,1,2010,fuera_colombia,False
P0827,1100827,1,2010,fuera_colombia,False
P0836,1100836,1,2010,fuera_colombia,False
P0866,1100866,1,2010,fuera_colombia,False
P0876,1100876,1,2010,fuera_colombia,False
P0880,1100880,1,2010,fuera_colombia,False
P0884,1100884,1,2010,fuera_colombia,False
P0888,1100888,1,2010,fuera_colombia,False
P0949,1100949,1,2010,fuera_colombia,False
P0955,1100955,1,2010,fuera_colombia,False
P0972,1100972,1,2010,fuera_colombia,False
P0983,1100983,1,2010,fuera_colombia,False
P0012,2130012,2,2013,fuera_colombia,False
P0033,2130033,2,2013,fuera_colombia,False
P0085,2130083,2,2013,fuera_colombia,False
P0100,2130098,2,2013,fuera_colombia,False
P0124,2130121,2,2013,fuera_colombia,False
P0163,2130156,2,2013,fuera_colombia,False
P0222,2130214,2,2013,fuera_colombia,False
P0272,2130260,2,2013,fuera_colombia,False
P0288,2130276,2,2013,fuera_colombia,False
P0294,2130282,2,2013,fuera_colombia,False
P0313,2130300,2,2013,fuera_colombia,False
P0318,2130305,2,2013,fuera_colombia,False
P0323,2130309,2,2013,fuera_colombia,False
P0327,2130313,2,2013,fuera_colombia,False
P0329,2130315,2,2013,fuera_colombia,False
P0334,2130320,2,2013,fuera_colombia,False
P0343,2130329,2,2013,fuera_colombia,False
P0387,2130370,2,2013,fuera_colombia,False
P0390,2130373,2,2013,fuera_colombia,False
P0406,2130388,2,2013,fuera_colombia,False
P0417,2130398,2,2013,fuera_colombia,False
P0421,2130402,2,2013,fuera_colombia,False
P0431,2130411,2,2013,fuera_colombia,False
P0461,2130439,2,2013,fuera_colombia,False
P0466,2130443,2,2013,fuera_colombia,False
P0481,2130457,2,2013,fuera_colombia,False
P0484,2130460,2,2013,fuera_colombia,False
P0507,2130483,2,2013,fuera_colombia,False
P0513,2130489,2,2013,fuera_colombia,False
P0518,2130494,2,2013,fuera_colombia,False
P0531,2130507,2,2013,fuera_colombia,False
P0568,2130543,2,2013,fuera_colombia,False
P0587,2130561,2,2013,fuera_colombia,False
P0607,2130580,2,2013,fuera_colombia,False
P0608,2130581,2,2013,fuera_colombia,False
P0644,2130616,2,2013,fuera_colombia,False
P0684,2130655,2,2013,fuera_colombia,False
P0736,2130705,2,2013,fuera_colombia,False
P0767,2130733,2,2013,fuera_colombia,False
P0791,2130757,2,2013,fuera_colombia,False
P0800,2130765,2,2013,fuera_colombia,False
P0806,2130771,2,2013,fuera_colombia,False
P0845,2130809,2,2013,fuera_colombia,False
P0860,2130822,2,2013,fuera_colombia,False
P0881,2130841,2,2013,fuera_colombia,False
P0886,2130845,2,2013,fuera_colombia,False
P0892,2130849,2,2013,fuera_colombia,False
P0893,2130850,2,2013,fuera_colombia,False
P0905,2130861,2,2013,fuera_colombia,False
P0906,2130862,2,2013,fuera_colombia,False
P0911,2130865,2,2013,fuera_colombia,False
P0937,2130891,2,2013,fuera_colombia,False
P0941,2130895,2,2013,fuera_colombia,False
P0944,2130898,2,2013,fuera_colombia,False
P0948,2130902,2,2013,fuera_colombia,False
P0977,2130928,2,2013,fuera_colombia,False
P0060,3160056,3,2016,fuera_colombia,False
P0067,3160063,3,2016,fuera_colombia,False
P0071,3160067,3,2016,fuera_colombia,False
P0102,3160097,3,2016,fuera_colombia,False
P0103,3160098,3,2016,fuera_colombia,False
P0110,3160104,3,2016,fuera_colombia,False
P0126,3160118,3,2016,fuera_colombia,False
P0186,3160169,3,2016,fuera_colombia,False
P0196,3160178,3,2016,fuera_colombia,False
P0210,3160191,3,2016,fuera_colombia,False
P0212,3160193,3,2016,fuera_colombia,False
P0235,3160214,3,2016,fuera_colombia,False
P0249,3160227,3,2016,fuera_colombia,False
P0257,3160234,3,2016,fuera_colombia,False
P0291,3160264,3,2016,fuera_colombia,False
P0298,3160271,3,2016,fuera_colombia,False
P0312,3160284,3,2016,fuera_colombia,False
P0326,3160296,3,2016,fuera_colombia,False
P0369,3160337,3,2016,fuera_colombia,False
P0387,3160353,3,2016,fuera_colombia,False
P0410,3160372,3,2016,fuera_colombia,False
P0443,3160402,3,2016,fuera_colombia,False
P0467,3160424,3,2016,fuera_colombia,False
P0483,3160439,3,2016,fuera_colombia,False
P0490,3160446,3,2016,fuera_colombia,False
P0496,3160451,3,2016,fuera_colombia,False
P0515,3160467,3,2016,fuera_colombia,False
P0519,3160471,3,2016,fuera_colombia,False
P0556,3160507,3,2016,fuera_colombia,False
P0571,3160520,3,2016,fuera_colombia,False
P0608,3160550,3,2016,fuera_colombia,False
P0609,3160551,3,2016,fuera_colombia,False
P0628,3160568,3,2016,fuera_colombia,False
P0676,3160614,3,2016,fuera_colombia,False
P0696,3160632,3,2016,fuera_colombia,False
P0708,3160643,3,2016,fuera_colombia,False
P0717,3160651,3,2016,fuera_colombia,False
P0758,3160687,3,2016,fuera_colombia,False
P0782,3160709,3,2016,fuera_colombia,False
P0802,3160727,3,2016,fuera_colombia,False
P0832,3160755,3,2016,fuera_colombia,False
P0838,3160761,3,2016,fuera_colombia,False
P0877,3160795,3,2016,fuera_colombia,False
P0904,3160817,3,2016,fuera_colombia,False
P0915,3160825,3,2016,fuera_colombia,False
P0918,3160828,3,2016,fuera_colombia,False
P0931,3160839,3,2016,fuera_colombia,False
P0941,3160849,3,2016,fuera_colombia,False
P0952,3160860,3,2016,fuera_colombia,False
P0967,3160871,3,2016,fuera_colombia,False
