ola,ano_encuesta,estratificador,categoria,n_total,n_validas,pct_validas
1,2010,zona,1,572,496,86.7
1,2010,zona,2,428,364,85.0
1,2010,region,1,282,244,86.5
1,2010,region,2,137,117,85.4
1,2010,region,3,95,87,91.6
1,2010,region,4,79,66,83.5
1,2010,region,5,61,52,85.2
1,2010,region,6,79,68,86.1
1,2010,region,7,93,77,82.8
1,2010,region,8,77,66,85.7
1,2010,region,9,97,83,85.6
2,2013,zona,1,543,464,85.5
2,2013,zona,2,407,355,87.2
2,2013,region,1,269,228,84.8
2,2013,region,2,127,108,85.0
2,2013,region,3,93,78,83.9
2,2013,region,4,73,65,89.0
2,2013,region,5,58,52,89.7
2,2013,region,6,74,67,90.5
2,2013,region,7,91,83,91.2
2,2013,region,8,73,61,83.6
2,2013,region,9,92,77,83.7
3,2016,zona,1,514,451,87.7
3,2016,zona,2,386,323,83.7
3,2016,region,1,254,213,83.9
3,2016,region,2,124,107,86.3
3,2016,region,3,89,80,89.9
3,2016,region,4,67,59,88.1
3,2016,region,5,55,46,83.6
3,2016,region,6,72,63,87.5
3,2016,region,7,86,81,94.2
3,2016,region,8,65,59,90.8
3,2016,region,9,88,66,75.0
