id_panel,consecutivo,latitud,longitud,zona,region
P0001,2130001,5.594923,-73.415683,2,6
P0002,2130002,6.634013,-75.932463,2,7
P0003,2130003,,,1,1
P0004,2130004,4.588851,-74.175382,1,1
P0005,2130005,4.658013,-74.228024,1,1
P0006,2130006,4.702732,-74.157372,1,1
P0007,2130007,7.408462,-75.485434,2,7
P0008,2130008,6.898776,-76.046503,2,7
P0009,2130009,10.933184,-74.726633,1,4
P0010,2130010,,,1,4
P0011,2130011,4.580461,-73.982141,1,1
P0012,2130012,0.000000,0.000000,2,8
P0013,2130013,5.820842,-73.133010,2,6
P0014,2130014,4.174976,-74.414707,2,1
P0015,2130015,7.301059,-75.422259,2,7
P0016,2130016,5.651736,-73.225702,2,6
P0017,2130017,10.934763,-74.724646,1,4
P0018,2130018,,,1,2
P0019,2130019,7.634021,-75.599403,2,7
P0020,2130020,6.784620,-75.758982,2,7
P0021,2130021,6.292683,-75.658357,1,2
P0022,2130022,4.690550,-74.050089,1,1
P0023,2130023,4.357174,-74.614920,2,1
P0024,2130024,6.335378,-75.677698,1,2
P0025,2130025,6.256468,-75.494377,1,2
P0026,2130026,1.478175,-77.170127,2,8
P0027,2130027,1.954176,-77.326911,2,8
P0028,2130028,10.327433,-75.449375,1,5
P0029,2130029,3.503957,-76.558751,1,3
P0030,2130030,3.441817,-76.608876,1,3
P0031,2130031,6.295510,-75.554516,1,2
P0032,2130032,,-77.759648,2,8
P0033,2130033,"6°11'39.97""N","75°36'37.03""E",1,2
P0034,2130034,3.556006,-76.606977,1,3
P0035,2130035,8.285396,-75.757354,2,9
P0036,2130036,6.352634,-75.559926,1,2
P0037,2130037,1.465616,-77.592383,2,8
P0038,2130038,1.718394,-77.520001,2,8
P0039,2130039,3.502288,-76.517141,1,3
P0040,2130040,6.226183,-75.492243,1,2
P0041,2130041,3.472333,-76.485521,1,3
P0042,2130042,4.538959,-73.985869,1,1
P0043,2130043,6.111209,-73.726194,2,6
P0044,2130044,8.570027,-75.903586,2,9
P0045,2130045,,,2,9
P0046,2130046,4.635004,-74.159031,1,1
P0047,2130047,11.017031,-74.859162,1,4
P0048,2130048,7.765111,-75.864349,2,9
P0050,2130049,8.116680,-75.200800,2,9
P0051,2130050,4.681895,-74.249067,1,1
P0052,2130051,10.376890,-75.464373,1,5
P0053,2130052,10.419242,-75.554084,1,5
P0054,2130053,3.963036,-74.141868,2,1
P0056,2130054,4.659822,-74.023377,1,1
P0057,2130055,8.086562,-75.119269,2,9
P0058,2130056,8.309861,-75.449129,2,9
P0059,2130057,4.691137,-73.977945,1,1
P0060,2130058,,,2,1
P0061,2130059,6.145110,-75.576528,1,2
P0062,2130060,6.355969,-75.590462,1,2
P0063,2130061,8.715072,-75.690716,2,9
P0064,2130062,8.562471,-75.270203,2,9
P0065,2130063,7.318503,-75.579822,2,7
P0066,2130064,,,1,1
P0067,2130065,10.369913,-75.466524,1,5
P0068,2130066,6.588913,-75.922027,2,7
P0069,2130067,8.361350,-75.654995,2,9
P0070,2130068,6.218285,-75.531687,1,2
P0071,2130069,10.942492,-74.696224,1,4
P0072,2130070,,,2,9
P0073,2130071,6.227077,-75.626210,1,2
P0074,2130072,7.044036,-75.283546,2,7
P0075,2130073,3.474187,-76.517294,1,3
P0076,2130074,7.204468,-75.623792,2,7
P0077,2130075,6.290346,-75.581592,1,2
P0078,2130076,10.455815,-75.552558,1,5
P0079,2130077,8.577831,-75.136223,2,9
P0080,2130078,7.368778,-75.560000,2,7
P0081,2130079,10.956070,-74.757809,1,4
P0082,2130080,3.481748,-76.566181,1,3
P0083,2130081,,,2,8
P0084,2130082,4.749259,-74.006540,1,1
P0085,2130083,"5°40'47.09""N","72°47'10.82""E",2,6
P0086,2130084,3.539529,-76.534716,1,3
P0087,2130085,4.599695,-74.022825,1,1
P0088,2130086,,,1,2
P0089,2130087,7.433656,-75.861584,2,7
P0090,2130088,6.260116,-75.516593,1,2
P0091,2130089,3.513627,-76.536103,1,3
P0092,2130090,5.878341,-73.457112,2,6
P0093,2130091,8.050202,-76.192154,2,9
P0094,2130092,6.312157,-75.635635,1,2
P0095,2130093,4.724033,-74.062775,1,1
P0096,2130094,7.179536,-75.672816,2,7
P0097,2130095,8.616313,-75.534268,2,9
P0098,2130096,5.647903,-73.091778,2,6
P0099,2130097,6.673960,-75.239772,2,7
P0100,2130098,"4°34'42.89""N","74°12'15.37""E",1,1
P0101,2130099,10.337857,-75.529061,1,5
P0102,2130100,8.750031,-75.156430,2,9
P0103,2130101,8.570026,-75.635458,2,9
P0104,2130102,4.130602,-74.821862,2,1
P0105,2130103,1.413890,-77.854373,2,8
P0106,2130104,4.652342,-74.163172,1,1
P0107,2130105,5.708676,-73.208118,2,6
P0108,2130106,11.053928,-74.830890,1,4
P0110,2130107,4.585212,-74.187317,1,1
P0111,2130108,3.477629,-76.568044,1,3
P0112,2130109,1.384127,-77.298034,2,8
P0113,2130110,3.736359,-74.698519,2,1
P0114,2130111,4.708308,-74.086452,1,1
P0115,2130112,3.784153,-74.979279,2,1
P0116,2130113,1.673914,,2,8
P0117,2130114,6.266221,-75.720750,1,2
P0118,2130115,,-75.617899,1,2
P0119,2130116,6.344175,-75.588762,1,2
P0120,2130117,4.674031,-74.001400,1,1
P0121,2130118,8.784778,-75.737229,2,9
P0122,2130119,8.504665,-74.973875,2,9
P0123,2130120,7.415085,-75.427869,2,7
P0124,2130121,"8°33'19.74""N","75°39'0.07""E",2,9
P0125,2130122,5.550630,-72.957037,2,6
P0126,2130123,6.149339,-75.579904,1,2
P0128,2130124,4.020775,-74.417838,2,1
P0129,2130125,6.324769,-75.606828,1,2
P0130,2130126,3.425683,-76.556859,1,3
P0131,2130127,6.282966,-75.588927,1,2
P0132,2130128,3.824296,-73.860864,2,1
P0133,2130129,,,1,2
P0134,2130130,4.621924,-74.054609,1,1
P0135,2130131,10.954427,-74.783831,1,4
P0137,2130132,8.906119,-75.322463,2,9
P0139,2130133,10.389805,-75.539354,1,5
P0140,2130134,4.660479,-74.013309,1,1
P0141,2130135,,-75.507638,2,9
P0142,2130136,3.454333,-76.485500,1,3
P0143,2130137,7.338396,-75.768926,2,7
P0144,2130138,10.446831,-75.524897,1,5
P0145,2130139,6.147151,-72.603199,2,6
P0146,2130140,4.254303,-74.400786,2,1
P0147,2130141,4.702300,-73.983279,1,1
P0148,2130142,6.245630,-75.660514,1,2
P0149,2130143,6.867221,-75.183403,2,7
P0150,2130144,3.509986,-76.553869,1,3
P0151,2130145,6.169590,-75.592117,1,2
P0152,2130146,8.097112,-75.579424,2,9
P0153,2130147,3.479759,-76.499422,1,3
P0154,2130148,10.462606,-75.530504,1,5
P0155,2130149,4.595915,-74.184265,1,1
P0156,2130150,4.653602,-73.998333,1,1
P0157,2130151,3.387559,-76.544373,1,3
P0158,2130152,4.652672,-74.202099,1,1
P0159,2130153,10.355289,-75.399475,1,5
P0160,2130154,,-74.820757,1,4
P0161,2130155,3.432095,-76.621330,1,3
P0163,2130156,4.814098,74.060156,1,1
P0164,2130157,5.705388,-72.987879,2,6
P0165,2130158,6.658565,-75.650490,2,7
P0166,2130159,6.932381,-75.138632,2,7
P0167,2130160,6.093744,-72.668113,2,6
P0168,2130161,4.593687,-74.920753,2,1
P0170,2130162,10.898798,-74.805445,1,4
P0171,2130163,3.429097,-76.507898,1,3
P0172,2130164,4.626706,-74.034789,1,1
P0173,2130165,1.984016,-77.770793,2,8
P0174,2130166,8.662918,,2,9
P0175,2130167,10.983930,-74.756001,1,4
P0176,2130168,3.682825,-74.494890,2,1
P0177,2130169,7.444692,-75.769035,2,7
P0178,2130170,6.911194,-74.753855,2,7
P0179,2130171,6.093907,-73.211470,2,6
P0180,2130172,8.573184,-75.878539,2,9
P0181,2130173,8.229596,-75.434730,2,9
P0182,2130174,3.748205,-74.977214,2,1
P0183,2130175,,-74.202638,1,1
P0184,2130176,1.646827,-77.176787,2,8
P0185,2130177,4.385135,-74.541659,2,1
P0186,2130178,4.662761,-74.130740,1,1
P0187,2130179,4.614729,-73.954457,1,1
P0188,2130180,4.595742,-74.041170,1,1
P0189,2130181,6.256146,-75.489028,1,2
P0190,2130182,1.498949,-77.626874,2,8
P0191,2130183,10.393953,-75.540691,1,5
P0192,2130184,1.653099,-77.588363,2,8
P0193,2130185,6.291461,-75.628844,1,2
P0194,2130186,5.990245,-73.362864,2,6
P0195,2130187,4.302019,-74.472036,2,1
P0196,2130188,7.399520,-75.564501,2,7
P0197,2130189,3.407696,-76.575647,1,3
P0198,2130190,6.235854,-75.614898,1,2
P0199,2130191,4.624138,-74.093237,1,1
P0200,2130192,8.258940,-75.499623,2,9
P0201,2130193,,,1,3
P0202,2130194,1.701917,-77.733142,2,8
P0203,2130195,4.619018,-74.176623,1,1
P0204,2130196,,,1,1
P0205,2130197,8.927032,-75.666595,2,9
P0206,2130198,,,2,9
P0207,2130199,5.652436,-73.005990,2,6
P0208,2130200,4.624491,,1,1
P0209,2130201,10.365361,-75.545909,1,5
